# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.143333333333333
0.6	0.148333333333333
1.2	0.105
1.8	0.108333333333333
2.4	0.0816666666666667
3	0.101666666666667
3.6	0.095
4.2	0.09
4.8	0.0916666666666667
5.4	0.0816666666666667
6	0.095
6.6	0.095
7.2	0.0983333333333333
7.8	0.115
8.4	0.118333333333333
9	0.1
9.6	0.0733333333333333
10.2	0.09
10.8	0.0966666666666667
11.4	0.1
12	0.0983333333333333
12.6	0.101666666666667
13.2	0.19
13.8	0.165
14.4	0.221666666666667
15	0.268333333333333
15.6	0.266666666666667
16.2	0.336666666666667
16.8	0.405
17.4	0.471666666666667
18	0.541666666666667
18.6	0.56
19.2	0.588333333333333
19.8	0.636666666666667
20.4	0.671666666666667
21	0.718333333333333
21.6	0.716666666666667
22.2	0.665
22.8	0.666666666666667
23.4	0.643333333333333
24	0.626666666666667
24.6	0.588333333333333
25.2	0.521666666666667
25.8	0.498333333333333
26.4	0.401666666666667
27	0.371666666666667
27.6	0.276666666666667
28.2	0.271666666666667
28.8	0.238333333333333
29.4	0.18
30	0.183333333333333
30.6	0.148333333333333
31.2	0.118333333333333
31.8	0.108333333333333
32.4	0.0983333333333333
33	0.075
33.6	0.0766666666666667
34.2	0.0983333333333333
34.8	0.0533333333333333
35.4	0.0783333333333333
36	0.085
36.6	0.09
37.2	0.0583333333333333
37.8	0.103333333333333
38.4	0.0866666666666667
39	0.0916666666666667
39.6	0.09
40.2	0.0833333333333333
40.8	0.125
41.4	0.113333333333333
42	0.135
42.6	0.171666666666667
43.2	0.203333333333333
43.8	0.235
44.4	0.255
45	0.3
45.6	0.368333333333333
46.2	0.385
46.8	0.435
47.4	0.496666666666667
48	0.571666666666667
48.6	0.591666666666667
49.2	0.658333333333333
49.8	0.641666666666667
50.4	0.661666666666667
51	0.693333333333333
51.6	0.688333333333333
52.2	0.695
52.8	0.681666666666667
53.4	0.621666666666667
54	0.593333333333333
54.6	0.531666666666667
55.2	0.481666666666667
55.8	0.43
56.4	0.366666666666667
57	0.3
57.6	0.293333333333333
58.2	0.24
58.8	0.215
59.4	0.143333333333333
60	0.108333333333333
