# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.42
0.6	0.411666666666667
1.2	0.363333333333333
1.8	0.268333333333333
2.4	0.253333333333333
3	0.161666666666667
3.6	0.156666666666667
4.2	0.0933333333333333
4.8	0.11
5.4	0.0883333333333333
6	0.0766666666666667
6.6	0.126666666666667
7.2	0.181666666666667
7.8	0.208333333333333
8.4	0.331666666666667
9	0.395
9.6	0.491666666666667
10.2	0.596666666666667
10.8	0.688333333333333
11.4	0.768333333333333
12	0.813333333333333
12.6	0.901666666666667
13.2	0.921666666666667
13.8	0.928333333333333
14.4	0.931666666666667
15	0.891666666666667
15.6	0.886666666666667
16.2	0.796666666666667
16.8	0.726666666666667
17.4	0.616666666666667
18	0.568333333333333
18.6	0.44
19.2	0.351666666666667
19.8	0.241666666666667
20.4	0.201666666666667
21	0.148333333333333
21.6	0.0983333333333333
22.2	0.0816666666666667
22.8	0.0733333333333333
23.4	0.105
24	0.141666666666667
24.6	0.185
25.2	0.191666666666667
25.8	0.251666666666667
26.4	0.291666666666667
27	0.348333333333333
27.6	0.346666666666667
28.2	0.391666666666667
28.8	0.401666666666667
29.4	0.383333333333333
30	0.348333333333333
30.6	0.351666666666667
31.2	0.293333333333333
31.8	0.278333333333333
32.4	0.21
33	0.208333333333333
33.6	0.136666666666667
34.2	0.105
34.8	0.101666666666667
35.4	0.0716666666666667
36	0.101666666666667
36.6	0.166666666666667
37.2	0.225
37.8	0.28
38.4	0.413333333333333
39	0.458333333333333
39.6	0.561666666666667
40.2	0.618333333333333
40.8	0.741666666666667
41.4	0.793333333333333
42	0.855
42.6	0.896666666666667
43.2	0.925
43.8	0.928333333333333
44.4	0.883333333333333
45	0.856666666666667
45.6	0.825
46.2	0.75
46.8	0.641666666666667
47.4	0.558333333333333
48	0.45
48.6	0.393333333333333
49.2	0.263333333333333
49.8	0.258333333333333
50.4	0.206666666666667
51	0.11
51.6	0.0816666666666667
52.2	0.106666666666667
52.8	0.08
53.4	0.136666666666667
54	0.145
54.6	0.205
55.2	0.251666666666667
55.8	0.313333333333333
56.4	0.29
57	0.343333333333333
57.6	0.39
58.2	0.413333333333333
58.8	0.363333333333333
59.4	0.366666666666667
60	0.333333333333333
