# n_shuttle_gate_set	su_S_North
# "n_shuttle_gate"	"su_S_North"
# 80
0	0.096
1	0.505
2	0.933
3	0.538
4	0.076
5	0.49
6	0.925
7	0.547
8	0.09
9	0.533
10	0.92
11	0.515
12	0.11
13	0.515
14	0.918
15	0.516
16	0.083
17	0.505
18	0.938
19	0.525
20	0.102
21	0.504
22	0.934
23	0.52
24	0.093
25	0.495
26	0.936
27	0.529
28	0.115
29	0.46
30	0.923
31	0.556
32	0.117
33	0.503
34	0.913
35	0.572
36	0.09
37	0.483
38	0.912
39	0.593
40	0.101
41	0.456
42	0.906
43	0.529
44	0.123
45	0.514
46	0.908
47	0.554
48	0.124
49	0.478
50	0.904
51	0.592
52	0.114
53	0.497
54	0.913
55	0.512
56	0.117
57	0.492
58	0.912
59	0.508
60	0.121
61	0.5
62	0.908
63	0.515
64	0.126
65	0.537
66	0.892
67	0.479
68	0.111
69	0.545
70	0.905
71	0.475
72	0.135
73	0.509
74	0.886
75	0.544
76	0.124
77	0.478
78	0.892
79	0.493
