# n_shuttle_gate_set	su_S_North
# "n_shuttle_gate"	"su_S_North"
# 80
0	0.098
1	0.511
2	0.93
3	0.53
4	0.104
5	0.496
6	0.909
7	0.521
8	0.09
9	0.466
10	0.929
11	0.509
12	0.096
13	0.458
14	0.904
15	0.557
16	0.106
17	0.473
18	0.919
19	0.569
20	0.104
21	0.451
22	0.923
23	0.578
24	0.115
25	0.432
26	0.9
27	0.622
28	0.111
29	0.417
30	0.899
31	0.608
32	0.124
33	0.485
34	0.922
35	0.565
36	0.088
37	0.495
38	0.924
39	0.489
40	0.093
41	0.509
42	0.927
43	0.525
44	0.107
45	0.493
46	0.931
47	0.54
48	0.123
49	0.427
50	0.868
51	0.68
52	0.143
53	0.34
54	0.908
55	0.645
56	0.148
57	0.354
58	0.841
59	0.693
60	0.171
61	0.314
62	0.823
63	0.678
64	0.165
65	0.368
66	0.826
67	0.569
68	0.177
69	0.492
70	0.891
71	0.544
72	0.116
73	0.483
74	0.901
75	0.555
76	0.128
77	0.493
78	0.872
79	0.51
