# n_shuttle_gate_set	su_S_North
# "n_shuttle_gate"	"su_S_North"
# 80
0	0.097
1	0.51
2	0.911
3	0.54
4	0.088
5	0.525
6	0.893
7	0.495
8	0.071
9	0.511
10	0.911
11	0.498
12	0.101
13	0.544
14	0.898
15	0.494
16	0.103
17	0.524
18	0.898
19	0.509
20	0.101
21	0.539
22	0.916
23	0.496
24	0.096
25	0.557
26	0.9
27	0.475
28	0.092
29	0.557
30	0.903
31	0.469
32	0.099
33	0.516
34	0.902
35	0.484
36	0.101
37	0.527
38	0.889
39	0.458
40	0.115
41	0.553
42	0.902
43	0.46
44	0.107
45	0.513
46	0.893
47	0.464
48	0.104
49	0.571
50	0.887
51	0.442
52	0.099
53	0.564
54	0.903
55	0.459
56	0.107
57	0.553
58	0.894
59	0.452
60	0.107
61	0.582
62	0.899
63	0.45
64	0.124
65	0.56
66	0.877
67	0.429
68	0.11
69	0.582
70	0.872
71	0.454
72	0.103
73	0.557
74	0.872
75	0.418
76	0.131
77	0.479
78	0.886
79	0.525
