# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-2	0	0.98
-2	69	0.82
-2	138	0.66
-2	207	0.62
-2	276	0.48
-2	345	0.36
-2	414	0.18
-2	483	0.2
-2	552	0.14
-2	621	0.26
-2	690	0.46
-2	759	0.58
-2	828	0.66
-2	897	0.82
-2	966	0.84
-2	1035	0.92
-2	1104	0.82
-2	1173	0.8
-2	1242	0.66
-2	1311	0.42
-2	1380	0.36
-2	1449	0.3
-2	1518	0.16
-2	1587	0.14
-2	1656	0.24
-2	1725	0.38
-2	1794	0.52
-2	1863	0.64
-2	1932	0.94
-2	2001	0.9
-2	2070	0.86
-2	2139	0.92
-2	2208	0.86
-2	2277	0.6
-2	2346	0.52
-2	2415	0.32
-2	2484	0.1
-2	2553	0.08
-2	2622	0.36
-2	2691	0.18
-2	2760	0.5
-2	2829	0.56
-2	2898	0.72
-2	2967	0.68
-2	3036	0.84
-2	3105	0.72
-2	3174	0.74
-2	3243	0.6
-2	3312	0.7
-2	3381	0.5
-2	3450	0.32
-2	3519	0.54
-2	3588	0.2
-2	3657	0.34
-2	3726	0.3
-2	3795	0.3
-2	3864	0.5
-2	3933	0.6
-2	4002	0.76
-2	4071	0.74
-2	4140	0.8
-2	4209	0.68
-2	4278	0.72
-2	4347	0.6
-2	4416	0.42
-2	4485	0.52
-2	4554	0.46
-2	4623	0.18
-2	4692	0.32
-2	4761	0.42
-2	4830	0.18
-2	4899	0.38
-2	4968	0.52
-2	5037	0.76
-2	5106	0.68
-2	5175	0.84
-2	5244	0.76
-2	5313	0.66
-2	5382	0.64
-2	5451	0.62
-2	5520	0.32
-2	5589	0.26
-2	5658	0.38
-2	5727	0.2
-2	5796	0.48
-2	5865	0.48
-2	5934	0.6
-2	6003	0.48
-2	6072	0.58
-2	6141	0.76
-2	6210	0.8
-2	6279	0.74
-2	6348	0.7
-2	6417	0.72
-2	6486	0.8
-2	6555	0.5
-2	6624	0.36
-2	6693	0.32
-2	6762	0.34
-2	6831	0.36
-2	6900	0.36
-2	6969	0.5
-2	7038	0.38
-2	7107	0.36
-2	7176	0.56
-2	7245	0.72
-2	7314	0.68
-2	7383	0.64
-2	7452	0.7
-2	7521	0.52
-2	7590	0.7
-2	7659	0.56
-2	7728	0.3
-2	7797	0.3
-2	7866	0.24
-2	7935	0.42
-2	8004	0.5
-2	8073	0.42
-2	8142	0.32
-2	8211	0.7
-2	8280	0.72
-2	8349	0.68
-2	8418	0.6
-2	8487	0.76
-2	8556	0.74
-2	8625	0.74
-2	8694	0.38
-2	8763	0.64
-2	8832	0.38
-2	8901	0.46
-2	8970	0.52
-2	9039	0.46
-2	9108	0.56
-2	9177	0.56
-2	9246	0.56
-2	9315	0.7
-2	9384	0.6
-2	9453	0.7
