# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 101
0	0.875
640	0.916
1280	0.893
1920	0.894
2560	0.875
3200	0.861
3840	0.854
4480	0.838
5120	0.82
5760	0.825
6400	0.815
7040	0.816
7680	0.813
8320	0.796
8960	0.745
9600	0.733
10240	0.775
10880	0.746
11520	0.734
12160	0.729
12800	0.69
13440	0.707
14080	0.702
14720	0.697
15360	0.685
16000	0.677
16640	0.656
17280	0.674
17920	0.629
18560	0.643
19200	0.631
19840	0.637
20480	0.638
21120	0.619
21760	0.639
22400	0.633
23040	0.627
23680	0.621
24320	0.589
24960	0.586
25600	0.613
26240	0.579
26880	0.611
27520	0.586
28160	0.571
28800	0.597
29440	0.584
30080	0.585
30720	0.573
31360	0.574
32000	0.549
32640	0.549
33280	0.549
33920	0.553
34560	0.553
35200	0.562
35840	0.564
36480	0.55
37120	0.548
37760	0.54
38400	0.58
39040	0.546
39680	0.525
40320	0.558
40960	0.556
41600	0.558
42240	0.533
42880	0.558
43520	0.576
44160	0.548
44800	0.548
45440	0.519
46080	0.526
46720	0.527
47360	0.545
48000	0.547
48640	0.553
49280	0.522
49920	0.546
50560	0.562
51200	0.521
51840	0.574
52480	0.559
53120	0.552
53760	0.574
54400	0.561
55040	0.536
55680	0.555
56320	0.572
56960	0.558
57600	0.547
58240	0.55
58880	0.524
59520	0.53
60160	0.544
60800	0.553
61440	0.563
62080	0.562
62720	0.529
63360	0.521
64000	0.527
