# waittime_set	su_trig0	su_trig1
# "waittime"	"su_trig0"	"su_trig1"
# 51
0	0.7525	0.34625
120	0.8	0.30875
240	0.805	0.15
360	0.78625	0.16
480	0.79625	0.14
600	0.8175	0.12125
720	0.79375	0.105
840	0.75375	0.105
960	0.74625	0.11125
1080	0.735	0.11
1200	0.68875	0.16375
1320	0.69	0.2325
1440	0.63375	0.13
1560	0.63375	0.2
1680	0.6075	0.13375
1800	0.58375	0.1275
1920	0.575	0.14375
2040	0.565	0.1675
2160	0.5275	0.165
2280	0.48125	0.1475
2400	0.47	0.1575
2520	0.48875	0.19625
2640	0.45625	0.19125
2760	0.4725	0.1925
2880	0.4575	0.23
3000	0.445	0.18375
3120	0.4375	0.19
3240	0.4425	0.1625
3360	0.46375	0.16875
3480	0.47875	0.175
3600	0.44125	0.18625
3720	0.455	0.195
3840	0.46875	0.1625
3960	0.4825	0.17375
4080	0.495	0.1875
4200	0.4675	0.1675
4320	0.5025	0.18125
4440	0.51125	0.18875
4560	0.51125	0.18625
4680	0.55375	0.16125
4800	0.595	0.16
4920	0.64375	0.12625
5040	0.695	0.09375
5160	0.69625	0.09375
5280	0.73375	0.075
5400	0.7975	0.0575
5520	0.8925	0.025
5640	0.905	0.0225
5760	0.88375	0.02
5880	0.92875	0.0075
6000	0.95	0.00875
