# _1100_cz_vpB12_set	t_cz_set	avg_S_North	su_S_North
# "_1100_cz_vpB12"	"t_cz"	"avg_S_North"	"su_S_North"
# 8	101
-76	0	157.853597005208	0.636666666666667
-76	1.5	141.219278971354	0.4
-76	3	125.972493489583	0.156666666666667
-76	4.5	131.972249348958	0.246666666666667
-76	6	147.170817057292	0.49
-76	7.5	165.032348632812	0.78
-76	9	173.832397460938	0.89
-76	10.5	160.6640625	0.683333333333333
-76	12	145.475463867188	0.46
-76	13.5	125.961303710938	0.143333333333333
-76	15	130.290730794271	0.203333333333333
-76	16.5	148.273722330729	0.48
-76	18	167.326456705729	0.793333333333333
-76	19.5	172.771199544271	0.89
-76	21	164.645385742188	0.753333333333333
-76	22.5	151.0009765625	0.516666666666667
-76	24	130.441080729167	0.2
-76	25.5	127.334798177083	0.183333333333333
-76	27	137.175699869792	0.306666666666667
-76	28.5	163.158976236979	0.696666666666667
-76	30	174.030151367188	0.9
-76	31.5	167.720336914062	0.763333333333333
-76	33	153.894653320312	0.55
-76	34.5	134.221598307292	0.246666666666667
-76	36	128.49609375	0.163333333333333
-76	37.5	140.471801757812	0.373333333333333
-76	39	162.267659505208	0.723333333333333
-76	40.5	172.705688476562	0.86
-76	42	171.150309244792	0.82
-76	43.5	155.513916015625	0.593333333333333
-76	45	134.915364583333	0.276666666666667
-76	46.5	125.273030598958	0.116666666666667
-76	48	136.564737955729	0.32
-76	49.5	156.787109375	0.616666666666667
-76	51	170.804646809896	0.85
-76	52.5	172.657267252604	0.87
-76	54	154.843953450521	0.6
-76	55.5	136.526692708333	0.293333333333333
-76	57	127.619425455729	0.176666666666667
-76	58.5	133.06640625	0.243333333333333
-76	60	157.373250325521	0.653333333333333
-76	61.5	169.562581380208	0.826666666666667
-76	63	171.587117513021	0.86
-76	64.5	158.501383463542	0.656666666666667
-76	66	140.203857421875	0.37
-76	67.5	126.526285807292	0.166666666666667
-76	69	130.3125	0.226666666666667
-76	70.5	151.0791015625	0.543333333333333
-76	72	168.952026367188	0.83
-76	73.5	169.866333007812	0.853333333333333
-76	75	161.193237304688	0.71
-76	76.5	140.652872721354	0.4
-76	78	129.398193359375	0.22
-76	79.5	128.837687174479	0.203333333333333
-76	81	145.759887695312	0.466666666666667
-76	82.5	162.687377929688	0.716666666666667
-76	84	173.717244466146	0.893333333333333
-76	85.5	163.482869466146	0.743333333333333
-76	87	146.21826171875	0.466666666666667
-76	88.5	130.314534505208	0.233333333333333
-76	90	130.146687825521	0.23
-76	91.5	143.963012695312	0.436666666666667
-76	93	160.126546223958	0.69
-76	94.5	172.047526041667	0.86
-76	96	168.955688476562	0.8
-76	97.5	151.27197265625	0.516666666666667
-76	99	131.497802734375	0.223333333333333
-76	100.5	130.089925130208	0.206666666666667
-76	102	148.080444335938	0.47
-76	103.5	162.815551757812	0.706666666666667
-76	105	173.039143880208	0.856666666666667
-76	106.5	168.05419921875	0.79
-76	108	151.748250325521	0.53
-76	109.5	132.8759765625	0.253333333333333
-76	111	127.918090820312	0.17
-76	112.5	143.050537109375	0.403333333333333
-76	114	159.265543619792	0.656666666666667
-76	115.5	175.684407552083	0.873333333333333
-76	117	170.211791992188	0.813333333333333
-76	118.5	153.532104492188	0.553333333333333
-76	120	135.633544921875	0.27
-76	121.5	130.961507161458	0.19
-76	123	138.399454752604	0.33
-76	124.5	155.621541341146	0.6
-76	126	170.266316731771	0.83
-76	127.5	167.34619140625	0.81
-76	129	155.57861328125	0.636666666666667
-76	130.5	140.550333658854	0.393333333333333
-76	132	128.287760416667	0.183333333333333
-76	133.5	135.080362955729	0.29
-76	135	150.86669921875	0.546666666666667
-76	136.5	169.804077148438	0.816666666666667
-76	138	170.069173177083	0.856666666666667
-76	139.5	160.770670572917	0.706666666666667
-76	141	145.405883789062	0.453333333333333
-76	142.5	130.364583333333	0.186666666666667
-76	144	136.954142252604	0.31
-76	145.5	155.376586914062	0.563333333333333
-76	147	166.644897460938	0.77
-76	148.5	172.3828125	0.89
-76	150	160.024007161458	0.683333333333333

-78	0	165.948282877604	0.736666666666667
-78	1.5	141.337687174479	0.376666666666667
-78	3	131.479899088542	0.216666666666667
-78	4.5	131.085001627604	0.223333333333333
-78	6	150.454915364583	0.52
-78	7.5	165.14404296875	0.753333333333333
-78	9	173.445027669271	0.876666666666667
-78	10.5	168.7939453125	0.77
-78	12	149.488321940104	0.47
-78	13.5	130.383504231771	0.176666666666667
-78	15	128.107503255208	0.146666666666667
-78	16.5	143.11279296875	0.376666666666667
-78	18	164.071248372396	0.693333333333333
-78	19.5	178.155314127604	0.893333333333333
-78	21	162.005615234375	0.696666666666667
-78	22.5	145.666097005208	0.446666666666667
-78	24	128.653361002604	0.186666666666667
-78	25.5	129.142659505208	0.196666666666667
-78	27	141.728922526042	0.39
-78	28.5	166.248779296875	0.77
-78	30	171.089680989583	0.85
-78	31.5	168.307088216146	0.81
-78	33	150.027669270833	0.533333333333333
-78	34.5	128.893636067708	0.203333333333333
-78	36	128.694458007812	0.206666666666667
-78	37.5	143.838500976562	0.436666666666667
-78	39	162.338460286458	0.723333333333333
-78	40.5	170.012613932292	0.866666666666667
-78	42	167.907918294271	0.82
-78	43.5	150.406901041667	0.543333333333333
-78	45	131.423543294271	0.23
-78	46.5	129.319661458333	0.2
-78	48	141.290079752604	0.383333333333333
-78	49.5	159.311930338542	0.646666666666667
-78	51	172.404174804688	0.873333333333333
-78	52.5	163.067016601562	0.723333333333333
-78	54	151.500040690104	0.546666666666667
-78	55.5	133.478597005208	0.263333333333333
-78	57	128.861287434896	0.203333333333333
-78	58.5	138.2958984375	0.36
-78	60	155.164591471354	0.643333333333333
-78	61.5	168.647664388021	0.85
-78	63	169.22119140625	0.833333333333333
-78	64.5	149.892781575521	0.546666666666667
-78	66	133.746744791667	0.293333333333333
-78	67.5	127.084757486979	0.193333333333333
-78	69	141.518961588542	0.406666666666667
-78	70.5	152.223714192708	0.58
-78	72	170.779825846354	0.82
-78	73.5	167.851155598958	0.806666666666667
-78	75	152.269694010417	0.566666666666667
-78	76.5	137.6806640625	0.343333333333333
-78	78	129.507446289062	0.2
-78	79.5	143.369547526042	0.436666666666667
-78	81	160.647176106771	0.703333333333333
-78	82.5	167.815348307292	0.813333333333333
-78	84	168.76708984375	0.81
-78	85.5	150.905558268229	0.543333333333333
-78	87	136.181030273438	0.28
-78	88.5	129.378662109375	0.19
-78	90	136.554565429688	0.31
-78	91.5	156.522013346354	0.643333333333333
-78	93	168.1005859375	0.823333333333333
-78	94.5	167.16064453125	0.8
-78	96	149.273274739583	0.536666666666667
-78	97.5	139.556477864583	0.373333333333333
-78	99	126.219685872396	0.196666666666667
-78	100.5	135.333862304688	0.316666666666667
-78	102	156.537882486979	0.636666666666667
-78	103.5	170.181884765625	0.833333333333333
-78	105	166.646525065104	0.793333333333333
-78	106.5	152.672322591146	0.59
-78	108	136.3427734375	0.353333333333333
-78	109.5	125.664876302083	0.176666666666667
-78	111	136.710611979167	0.34
-78	112.5	151.133829752604	0.57
-78	114	165.629475911458	0.803333333333333
-78	115.5	163.613891601562	0.766666666666667
-78	117	148.76220703125	0.533333333333333
-78	118.5	137.427164713542	0.343333333333333
-78	120	130.387776692708	0.206666666666667
-78	121.5	142.550252278646	0.403333333333333
-78	123	155.643513997396	0.61
-78	124.5	163.991292317708	0.77
-78	126	167.883911132812	0.803333333333333
-78	127.5	155.738525390625	0.64
-78	129	138.307291666667	0.343333333333333
-78	130.5	133.206990559896	0.273333333333333
-78	132	141.340535481771	0.403333333333333
-78	133.5	154.633178710938	0.606666666666667
-78	135	170.736490885417	0.86
-78	136.5	168.58642578125	0.78
-78	138	157.506917317708	0.616666666666667
-78	139.5	142.818806966146	0.376666666666667
-78	141	130.788777669271	0.213333333333333
-78	142.5	133.468221028646	0.253333333333333
-78	144	156.887410481771	0.626666666666667
-78	145.5	165.132242838542	0.77
-78	147	167.175903320312	0.793333333333333
-78	148.5	151.983642578125	0.556666666666667
-78	150	136.998697916667	0.326666666666667

-80	0	163.769734700521	0.703333333333333
-80	1.5	141.532592773438	0.373333333333333
-80	3	131.065470377604	0.213333333333333
-80	4.5	136.648966471354	0.303333333333333
-80	6	153.055623372396	0.57
-80	7.5	167.659301757812	0.806666666666667
-80	9	171.116739908854	0.846666666666667
-80	10.5	163.347574869792	0.71
-80	12	145.239461263021	0.446666666666667
-80	13.5	127.48779296875	0.166666666666667
-80	15	133.142700195312	0.25
-80	16.5	155.189819335938	0.57
-80	18	168.481038411458	0.803333333333333
-80	19.5	171.649576822917	0.836666666666667
-80	21	161.199747721354	0.67
-80	22.5	140.967814127604	0.373333333333333
-80	24	127.562662760417	0.173333333333333
