# waittime_set	su_trig0	su_trig1
# "waittime"	"su_trig0"	"su_trig1"
# 51
0	0.08625	0.8125
100	0.07875	0.84625
200	0.08625	0.875
300	0.08125	0.83875
400	0.10125	0.8325
500	0.0725	0.8225
600	0.08625	0.84625
700	0.07	0.79625
800	0.40625	0.79375
900	0.06125	0.7975
1000	0.41625	0.7875
1100	0.07125	0.775
1200	0.39	0.76125
1300	0.0875	0.73375
1400	0.34375	0.73
1500	0.0775	0.71125
1600	0.395	0.73375
1700	0.075	0.68375
1800	0.34875	0.66875
1900	0.14375	0.63875
2000	0.265	0.6225
2100	0.16375	0.6175
2200	0.28	0.60875
2300	0.15125	0.5725
2400	0.235	0.58125
2500	0.27625	0.55375
2600	0.1925	0.52875
2700	0.33625	0.48875
2800	0.19125	0.50875
2900	0.37875	0.47375
3000	0.16625	0.4625
3100	0.4175	0.51125
3200	0.17625	0.4375
3300	0.3775	0.48875
3400	0.19	0.50625
3500	0.32	0.47125
3600	0.28375	0.4725
3700	0.3325	0.49375
3800	0.27875	0.4425
3900	0.27	0.44375
4000	0.4	0.44125
4100	0.255	0.4675
4200	0.35125	0.47625
4300	0.2525	0.465
4400	0.34625	0.44375
4500	0.22375	0.47625
4600	0.365	0.47375
4700	0.33375	0.46375
4800	0.29625	0.45875
4900	0.2975	0.44625
5000	0.32125	0.44875
