# waittime_end_set	su_trig0	su_trig1
# "waittime_end"	"su_trig0"	"su_trig1"
# 31
0	0.81	0.48
1	0.8125	0.3475
2	0.785	0.58
3	0.7175	0.54
4	0.615	0.565
5	0.5325	0.54
6	0.475	0.5675
7	0.32	0.5775
8	0.2825	0.625
9	0.195	0.77
10	0.125	0.6525
11	0.08	0.6225
12	0.0425	0.6
13	0.0875	0.48
14	0.1525	0.6275
15	0.235	0.5625
16	0.3325	0.5075
17	0.3975	0.55
18	0.52	0.63
19	0.6125	0.66
20	0.685	0.6525
21	0.7625	0.63
22	0.8075	0.5825
23	0.8325	0.5725
24	0.83	0.5
25	0.7875	0.575
26	0.7425	0.74
27	0.685	0.4925
28	0.575	0.545
29	0.4375	0.675
30	0.4325	0.495
