# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.115	0.075	0.675	0.135	0.81	0.21
400	0.1225	0.0475	0.6975	0.1325	0.83	0.18
800	0.1175	0.0575	0.695	0.13	0.825	0.1875
1200	0.1025	0.0575	0.715	0.125	0.84	0.1825
1600	0.1475	0.04	0.6725	0.14	0.8125	0.18
2000	0.12	0.0525	0.7	0.1275	0.8275	0.18
2400	0.13	0.0375	0.7025	0.13	0.8325	0.1675
2800	0.135	0.0525	0.655	0.1575	0.8125	0.21
3200	0.1225	0.05	0.69	0.1375	0.8275	0.1875
3600	0.185	0.0425	0.67	0.1025	0.7725	0.145
4000	0.15	0.06	0.6425	0.1475	0.79	0.2075
4400	0.19	0.055	0.6475	0.1075	0.755	0.1625
4800	0.255	0.0525	0.58	0.1125	0.6925	0.165
5200	0.3025	0.08	0.505	0.1125	0.6175	0.1925
5600	0.355	0.0825	0.48	0.0825	0.5625	0.165
6000	0.4175	0.0675	0.445	0.07	0.515	0.1375
6400	0.4375	0.0975	0.39	0.075	0.465	0.1725
6800	0.445	0.0825	0.3875	0.085	0.4725	0.1675
7200	0.3775	0.0975	0.4275	0.0975	0.525	0.195
7600	0.4975	0.0725	0.345	0.085	0.43	0.1575
8000	0.3875	0.105	0.385	0.1225	0.5075	0.2275
8400	0.415	0.075	0.41	0.1	0.51	0.175
8800	0.4025	0.0825	0.385	0.13	0.515	0.2125
9200	0.4225	0.0725	0.39	0.115	0.505	0.1875
9600	0.44	0.0925	0.3675	0.1	0.4675	0.1925
10000	0.42	0.065	0.395	0.12	0.515	0.185
10400	0.4	0.0975	0.3925	0.11	0.5025	0.2075
10800	0.445	0.0575	0.3975	0.1	0.4975	0.1575
11200	0.4025	0.08	0.4075	0.11	0.5175	0.19
11600	0.4175	0.0725	0.425	0.085	0.51	0.1575
12000	0.4025	0.0875	0.4175	0.0925	0.51	0.18
12400	0.465	0.065	0.3625	0.1075	0.47	0.1725
12800	0.4175	0.07	0.4175	0.095	0.5125	0.165
13200	0.4575	0.0575	0.3975	0.0875	0.485	0.145
13600	0.4325	0.045	0.43	0.0925	0.5225	0.1375
14000	0.4225	0.0825	0.3875	0.1075	0.495	0.19
14400	0.4125	0.1	0.405	0.0825	0.4875	0.1825
14800	0.415	0.0825	0.355	0.1475	0.5025	0.23
15200	0.4475	0.0825	0.365	0.105	0.47	0.1875
15600	0.4625	0.08	0.345	0.1125	0.4575	0.1925
16000	0.455	0.085	0.365	0.095	0.46	0.18
16400	0.41	0.08	0.4175	0.0925	0.51	0.1725
16800	0.43	0.085	0.3825	0.1025	0.485	0.1875
17200	0.4075	0.0825	0.4125	0.0975	0.51	0.18
17600	0.4125	0.09	0.4025	0.095	0.4975	0.185
18000	0.41	0.0775	0.4175	0.095	0.5125	0.1725
18400	0.405	0.0825	0.385	0.1275	0.5125	0.21
18800	0.41	0.0825	0.4175	0.09	0.5075	0.1725
19200	0.41	0.0875	0.39	0.1125	0.5025	0.2
19600	0.4225	0.085	0.4	0.0925	0.4925	0.1775
20000	0.435	0.06	0.3825	0.1225	0.505	0.1825
