# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 101
0	0.788
3000	0.838
6000	0.788
9000	0.805
12000	0.759
15000	0.747
18000	0.757
21000	0.723
24000	0.699
27000	0.678
30000	0.647
33000	0.658
36000	0.656
39000	0.679
42000	0.655
45000	0.646
48000	0.646
51000	0.636
54000	0.632
57000	0.625
60000	0.639
63000	0.64
66000	0.62
69000	0.633
72000	0.631
75000	0.651
78000	0.625
81000	0.633
84000	0.634
87000	0.658
90000	0.645
93000	0.614
96000	0.611
99000	0.64
102000	0.647
105000	0.646
108000	0.629
111000	0.639
114000	0.638
117000	0.651
120000	0.64
123000	0.645
126000	0.639
129000	0.638
132000	0.656
135000	0.612
138000	0.619
141000	0.647
144000	0.622
147000	0.617
150000	0.628
153000	0.616
156000	0.627
159000	0.646
162000	0.637
165000	0.65
168000	0.616
171000	0.618
174000	0.619
177000	0.642
180000	0.627
183000	0.642
186000	0.612
189000	0.586
192000	0.652
195000	0.629
198000	0.655
201000	0.66
204000	0.65
207000	0.621
210000	0.658
213000	0.632
216000	0.634
219000	0.634
222000	0.641
225000	0.621
228000	0.658
231000	0.602
234000	0.639
237000	0.613
240000	0.635
243000	0.624
246000	0.642
249000	0.644
252000	0.626
255000	0.662
258000	0.621
261000	0.644
264000	0.627
267000	0.656
270000	0.634
273000	0.634
276000	0.64
279000	0.634
282000	0.628
285000	0.655
288000	0.635
291000	0.625
294000	0.611
297000	0.631
300000	0.652
