# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 301
0	0.94
300	0.937
600	0.923
900	0.943
1200	0.933
1500	0.91
1800	0.924
2100	0.93
2400	0.925
2700	0.914
3000	0.916
3300	0.929
3600	0.927
3900	0.907
4200	0.921
4500	0.912
4800	0.915
5100	0.929
5400	0.897
5700	0.904
6000	0.896
6300	0.893
6600	0.867
6900	0.885
7200	0.892
7500	0.86
7800	0.878
8100	0.858
8400	0.859
8700	0.853
9000	0.851
9300	0.835
9600	0.824
9900	0.833
10200	0.837
10500	0.81
10800	0.847
11100	0.834
11400	0.806
11700	0.828
12000	0.789
12300	0.791
12600	0.809
12900	0.783
13200	0.785
13500	0.804
13800	0.767
14100	0.764
14400	0.782
14700	0.771
15000	0.749
15300	0.723
15600	0.728
15900	0.74
16200	0.768
16500	0.732
16800	0.762
17100	0.768
17400	0.747
17700	0.751
18000	0.757
18300	0.746
18600	0.756
18900	0.73
19200	0.713
19500	0.74
19800	0.717
20100	0.741
20400	0.713
20700	0.745
21000	0.718
21300	0.71
21600	0.709
21900	0.698
22200	0.684
22500	0.715
22800	0.68
23100	0.691
23400	0.685
23700	0.688
24000	0.702
24300	0.681
24600	0.681
24900	0.686
25200	0.689
25500	0.68
25800	0.696
26100	0.663
26400	0.688
26700	0.665
27000	0.664
27300	0.676
27600	0.662
27900	0.648
28200	0.67
28500	0.651
28800	0.654
29100	0.639
29400	0.659
29700	0.675
30000	0.64
30300	0.631
30600	0.629
30900	0.647
31200	0.627
31500	0.647
31800	0.62
32100	0.645
32400	0.618
32700	0.612
33000	0.625
33300	0.589
33600	0.604
33900	0.605
34200	0.604
34500	0.599
34800	0.6
35100	0.582
35400	0.604
35700	0.589
36000	0.615
36300	0.579
36600	0.616
36900	0.571
37200	0.585
37500	0.605
37800	0.586
38100	0.599
38400	0.581
38700	0.574
39000	0.585
39300	0.576
39600	0.548
39900	0.544
40200	0.592
40500	0.584
40800	0.604
41100	0.585
41400	0.526
41700	0.587
42000	0.569
42300	0.584
42600	0.561
42900	0.573
43200	0.568
43500	0.574
43800	0.565
44100	0.56
44400	0.573
44700	0.545
45000	0.57
45300	0.574
45600	0.593
45900	0.597
46200	0.55
46500	0.607
46800	0.565
47100	0.565
47400	0.583
47700	0.531
48000	0.563
48300	0.563
48600	0.55
48900	0.546
49200	0.555
49500	0.566
49800	0.565
50100	0.544
50400	0.567
50700	0.557
51000	0.534
51300	0.556
51600	0.548
51900	0.546
52200	0.521
52500	0.527
52800	0.513
53100	0.521
53400	0.557
53700	0.563
54000	0.531
54300	0.523
54600	0.582
54900	0.549
55200	0.555
55500	0.563
55800	0.528
56100	0.497
56400	0.508
56700	0.563
57000	0.542
57300	0.546
57600	0.547
57900	0.504
58200	0.549
58500	0.543
58800	0.556
59100	0.547
59400	0.57
59700	0.587
60000	0.523
60300	0.548
60600	0.538
60900	0.546
61200	0.561
61500	0.523
61800	0.524
62100	0.524
62400	0.535
62700	0.543
63000	0.532
63300	0.548
63600	0.508
63900	0.519
64200	0.538
64500	0.534
64800	0.524
65100	0.53
65400	0.522
65700	0.531
66000	0.526
66300	0.5
66600	0.538
66900	0.514
67200	0.523
67500	0.534
67800	0.52
68100	0.516
68400	0.52
68700	0.53
69000	0.549
69300	0.529
69600	0.51
69900	0.55
70200	0.527
70500	0.542
70800	0.548
71100	0.505
71400	0.527
71700	0.512
72000	0.55
72300	0.526
72600	0.534
72900	0.52
73200	0.513
73500	0.518
73800	0.512
74100	0.521
74400	0.502
74700	0.509
75000	0.505
75300	0.528
75600	0.519
75900	0.546
76200	0.528
76500	0.502
76800	0.517
77100	0.529
77400	0.529
77700	0.52
78000	0.507
78300	0.527
78600	0.523
78900	0.539
79200	0.508
79500	0.538
79800	0.538
80100	0.515
80400	0.509
80700	0.517
81000	0.497
81300	0.504
81600	0.511
81900	0.518
82200	0.506
82500	0.507
82800	0.516
83100	0.533
83400	0.536
83700	0.529
84000	0.509
84300	0.516
84600	0.504
84900	0.486
85200	0.518
85500	0.483
85800	0.544
86100	0.522
86400	0.535
86700	0.527
87000	0.534
87300	0.528
87600	0.534
87900	0.513
88200	0.504
88500	0.529
88800	0.469
89100	0.56
89400	0.537
89700	0.522
90000	0.521
