# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 41
1	160.989837646484	0.84
2.5	159.181823730469	0.82
4	160.009765625	0.83
5.5	157.980651855469	0.8
7	157.801513671875	0.8075
8.5	158.282318115234	0.8325
10	157.667388916016	0.85
11.5	158.211517333984	0.8375
13	158.748474121094	0.84
14.5	159.060668945312	0.8325
16	160.362091064453	0.8475
17.5	162.560424804688	0.8725
19	159.580383300781	0.8375
20.5	160.754852294922	0.85
22	160.662231445312	0.8525
23.5	157.61962890625	0.825
25	158.07861328125	0.8325
26.5	160.558929443359	0.875
28	160.313720703125	0.85
29.5	160.273284912109	0.8625
31	158.856201171875	0.845
32.5	159.94384765625	0.8725
34	157.674713134766	0.8325
35.5	158.493194580078	0.8525
37	161.371002197266	0.8825
38.5	160.707397460938	0.855
40	159.199676513672	0.845
41.5	158.649597167969	0.8325
43	162.655792236328	0.865
44.5	160.631408691406	0.835
46	159.073028564453	0.8425
47.5	160.504455566406	0.8525
49	157.842864990234	0.805
50.5	159.341278076172	0.8325
52	157.79052734375	0.8225
53.5	158.844451904297	0.85
55	157.001953125	0.825
56.5	161.790161132812	0.845
58	159.264373779297	0.8175
59.5	156.647338867188	0.805
61	159.307403564453	0.825
