# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.93
10	0.835
20	0.735
30	0.63
40	0.425
50	0.3
60	0.34
70	0.4
80	0.55
90	0.665
100	0.875
110	0.855
120	0.9
130	0.82
140	0.72
150	0.51
160	0.345
170	0.345
180	0.34
190	0.425
200	0.685
210	0.765
220	0.895
230	0.925
240	0.91
250	0.78
260	0.59
270	0.44
280	0.335
290	0.31
300	0.41
310	0.505
320	0.65
330	0.895
340	0.925
350	0.905
360	0.82
370	0.63
380	0.46
390	0.4
400	0.275
410	0.34
420	0.48
430	0.64
440	0.79
450	0.91
460	0.895
470	0.88
480	0.715
490	0.575
500	0.48
