# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-2	0	0.96
-2	168	0.86
-2	336	0.72
-2	504	0.64
-2	672	0.52
-2	840	0.44
-2	1008	0.26
-2	1176	0.1
-2	1344	0.12
-2	1512	0.08
-2	1680	0.16
-2	1848	0.22
-2	2016	0.34
-2	2184	0.34
-2	2352	0.78
-2	2520	0.74
-2	2688	0.7
-2	2856	0.86
-2	3024	0.9
-2	3192	0.86
-2	3360	0.8
-2	3528	0.78
-2	3696	0.66
-2	3864	0.44
-2	4032	0.52
-2	4200	0.32
-2	4368	0.18
-2	4536	0.14
-2	4704	0.28
-2	4872	0.24
-2	5040	0.24
-2	5208	0.34
-2	5376	0.42
-2	5544	0.58
-2	5712	0.56
-2	5880	0.76
-2	6048	0.76
-2	6216	0.72
-2	6384	0.76
-2	6552	0.72
-2	6720	0.58
-2	6888	0.48
-2	7056	0.34
-2	7224	0.44
-2	7392	0.38
-2	7560	0.34
-2	7728	0.26
-2	7896	0.3
-2	8064	0.34
-2	8232	0.26
-2	8400	0.5
-2	8568	0.38
-2	8736	0.66
-2	8904	0.68
-2	9072	0.72
-2	9240	0.52
-2	9408	0.82
-2	9576	0.78
-2	9744	0.44
-2	9912	0.48
-2	10080	0.74
-2	10248	0.28
-2	10416	0.36
-2	10584	0.58
-2	10752	0.32
-2	10920	0.4
-2	11088	0.42
-2	11256	0.74
-2	11424	0.76
-2	11592	0.54
-2	11760	0.58
-2	11928	0.74
-2	12096	0.7
-2	12264	0.74
-2	12432	0.68
-2	12600	0.82
-2	12768	0.48
-2	12936	0.38
-2	13104	0.32
-2	13272	0.64
-2	13440	0.22
-2	13608	0.34
-2	13776	0.3
-2	13944	0.56
-2	14112	0.56
-2	14280	0.54
-2	14448	0.28
-2	14616	0.64
-2	14784	0.68
-2	14952	0.72
-2	15120	0.58
-2	15288	0.78
-2	15456	0.64
-2	15624	0.6
-2	15792	0.64
-2	15960	0.56
-2	16128	0.46
-2	16296	0.34
-2	16464	0.52
-2	16632	0.54
-2	16800	0.56
-2	16968	0.4
-2	17136	0.42
-2	17304	0.42
-2	17472	0.38
-2	17640	0.42
-2	17808	0.4
-2	17976	0.48
-2	18144	0.46
-2	18312	0.5
-2	18480	0.58
-2	18648	0.4
-2	18816	0.66
-2	18984	0.64
-2	19152	0.62
-2	19320	0.64
-2	19488	0.44
-2	19656	0.42
-2	19824	0.46
-2	19992	0.56
-2	20160	0.62
-2	20328	0.48
-2	20496	0.54
-2	20664	0.42
-2	20832	0.42
-2	21000	0.48
-2	21168	0.44
-2	21336	0.58
-2	21504	0.68
-2	21672	0.54
-2	21840	0.58
-2	22008	0.52
-2	22176	0.56
-2	22344	0.6
-2	22512	0.6
-2	22680	0.54
-2	22848	0.6
-2	23016	0.52
-2	23184	0.5
-2	23352	0.46
-2	23520	0.44
