# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 81
0	0.928
114	0.906
228	0.912
342	0.926
456	0.886
570	0.858
684	0.86
798	0.832
912	0.82
1026	0.786
1140	0.698
1254	0.684
1368	0.654
1482	0.576
1596	0.622
1710	0.504
1824	0.45
1938	0.468
2052	0.472
2166	0.41
2280	0.388
2394	0.364
2508	0.326
2622	0.348
2736	0.256
2850	0.306
2964	0.278
3078	0.228
3192	0.226
3306	0.202
3420	0.27
3534	0.202
3648	0.24
3762	0.23
3876	0.246
3990	0.268
4104	0.272
4218	0.254
4332	0.254
4446	0.348
4560	0.318
4674	0.292
4788	0.416
4902	0.436
5016	0.482
5130	0.464
5244	0.604
5358	0.656
5472	0.712
5586	0.722
5700	0.676
5814	0.776
5928	0.824
6042	0.842
6156	0.824
6270	0.854
6384	0.858
6498	0.85
6612	0.86
6726	0.866
6840	0.882
6954	0.854
7068	0.828
7182	0.838
7296	0.8
7410	0.854
7524	0.856
7638	0.844
7752	0.878
7866	0.862
7980	0.818
8094	0.834
8208	0.814
8322	0.658
8436	0.598
8550	0.434
8664	0.544
8778	0.5
8892	0.534
9006	0.556
9120	0.298
