# _1100_cz_vpB12_set	t_cz_set	avg_S_North	su_S_North
# "_1100_cz_vpB12"	"t_cz"	"avg_S_North"	"su_S_North"
# 21	101
-50	0	158.633626302083	0.6
-50	1.5	139.392700195312	0.3
-50	3	131.308797200521	0.163333333333333
-50	4.5	136.676025390625	0.253333333333333
-50	6	158.326822916667	0.596666666666667
-50	7.5	172.752482096354	0.82
-50	9	176.5576171875	0.85
-50	10.5	162.474772135417	0.64
-50	12	143.499552408854	0.4
-50	13.5	128.109130859375	0.16
-50	15	133.580322265625	0.26
-50	16.5	152.878214518229	0.553333333333333
-50	18	171.233317057292	0.81
-50	19.5	173.448079427083	0.85
-50	21	162.44140625	0.676666666666667
-50	22.5	142.109781901042	0.376666666666667
-50	24	128.869832356771	0.163333333333333
-50	25.5	134.902547200521	0.26
-50	27	152.687784830729	0.526666666666667
-50	28.5	171.647542317708	0.816666666666667
-50	30	175.744018554688	0.886666666666667
-50	31.5	160.509033203125	0.666666666666667
-50	33	141.687215169271	0.373333333333333
-50	34.5	130.414428710938	0.203333333333333
-50	36	135.873819986979	0.283333333333333
-50	37.5	156.031901041667	0.563333333333333
-50	39	167.45849609375	0.76
-50	40.5	174.730631510417	0.863333333333333
-50	42	162.618408203125	0.653333333333333
-50	43.5	144.491170247396	0.39
-50	45	125.655517578125	0.123333333333333
-50	46.5	135.970662434896	0.26
-50	48	152.853393554688	0.506666666666667
-50	49.5	170.026245117188	0.786666666666667
-50	51	176.98974609375	0.9
-50	52.5	166.983846028646	0.733333333333333
-50	54	146.175944010417	0.436666666666667
-50	55.5	128.124796549479	0.15
-50	57	134.825236002604	0.273333333333333
-50	58.5	153.222452799479	0.536666666666667
-50	60	168.788045247396	0.8
-50	61.5	173.842976888021	0.88
-50	63	165.328572591146	0.75
-50	64.5	143.876749674479	0.38
-50	66	135.371704101562	0.263333333333333
-50	67.5	130.237019856771	0.203333333333333
-50	69	145.276082356771	0.426666666666667
-50	70.5	165.217895507812	0.743333333333333
-50	72	173.520711263021	0.846666666666667
-50	73.5	163.437906901042	0.71
-50	75	145.946044921875	0.426666666666667
-50	76.5	127.237548828125	0.143333333333333
-50	78	132.830200195312	0.216666666666667
-50	79.5	149.393920898438	0.463333333333333
-50	81	165.517374674479	0.743333333333333
-50	82.5	174.662068684896	0.883333333333333
-50	84	169.127400716146	0.763333333333333
-50	85.5	148.154296875	0.436666666666667
-50	87	133.173014322917	0.223333333333333
-50	88.5	130.946044921875	0.193333333333333
-50	90	141.569620768229	0.35
-50	91.5	164.268798828125	0.73
-50	93	174.166259765625	0.886666666666667
-50	94.5	165.159505208333	0.74
-50	96	145.270385742188	0.453333333333333
-50	97.5	129.819132486979	0.213333333333333
-50	99	130.319417317708	0.236666666666667
-50	100.5	146.644083658854	0.46
-50	102	164.70458984375	0.743333333333333
-50	103.5	170.57373046875	0.866666666666667
-50	105	167.160034179688	0.796666666666667
-50	106.5	148.892211914062	0.51
-50	108	132.251993815104	0.256666666666667
-50	109.5	129.0283203125	0.216666666666667
-50	111	144.310709635417	0.436666666666667
-50	112.5	162.927856445312	0.726666666666667
-50	114	170.261840820312	0.826666666666667
-50	115.5	168.233846028646	0.773333333333333
-50	117	149.045206705729	0.483333333333333
-50	118.5	132.377522786458	0.246666666666667
-50	120	129.107666015625	0.18
-50	121.5	143.660278320312	0.413333333333333
-50	123	162.046305338542	0.69
-50	124.5	173.480631510417	0.88
-50	126	168.1689453125	0.803333333333333
-50	127.5	150.101318359375	0.503333333333333
-50	129	132.122599283854	0.223333333333333
-50	130.5	127.660725911458	0.15
-50	132	145.766805013021	0.42
-50	133.5	160.108846028646	0.656666666666667
-50	135	170.223388671875	0.813333333333333
-50	136.5	165.030110677083	0.75
-50	138	152.842407226562	0.56
-50	139.5	128.448689778646	0.196666666666667
-50	141	125.792846679688	0.143333333333333
-50	142.5	141.953735351562	0.396666666666667
-50	144	162.165730794271	0.693333333333333
-50	145.5	171.581624348958	0.846666666666667
-50	147	167.941080729167	0.776666666666667
-50	148.5	147.902221679688	0.483333333333333
-50	150	132.766723632812	0.236666666666667

-45	0	162.837117513021	0.666666666666667
-45	1.5	141.746215820312	0.35
-45	3	128.910725911458	0.166666666666667
-45	4.5	135.353393554688	0.276666666666667
-45	6	152.855021158854	0.55
-45	7.5	171.122436523438	0.816666666666667
-45	9	171.767985026042	0.836666666666667
-45	10.5	160.5322265625	0.653333333333333
-45	12	142.143758138021	0.36
-45	13.5	125.536702473958	0.126666666666667
-45	15	134.937540690104	0.233333333333333
-45	16.5	151.294555664062	0.52
-45	18	167.55859375	0.79
-45	19.5	173.776245117188	0.856666666666667
-45	21	159.786783854167	0.67
-45	22.5	137.02392578125	0.296666666666667
-45	24	126.770629882812	0.14
-45	25.5	132.115071614583	0.216666666666667
-45	27	154.051920572917	0.553333333333333
-45	28.5	168.071492513021	0.786666666666667
-45	30	174.294840494792	0.873333333333333
-45	31.5	159.577840169271	0.68
-45	33	138.771769205729	0.346666666666667
-45	34.5	128.438110351562	0.17
-45	36	131.074625651042	0.216666666666667
-45	37.5	152.425333658854	0.56
-45	39	169.678955078125	0.79
-45	40.5	173.550821940104	0.86
-45	42	161.777140299479	0.683333333333333
-45	43.5	138.438924153646	0.326666666666667
-45	45	125.147908528646	0.143333333333333
-45	46.5	130.950724283854	0.23
-45	48	150.839233398438	0.553333333333333
-45	49.5	164.432779947917	0.77
-45	51	170.535481770833	0.86
-45	52.5	161.192830403646	0.713333333333333
-45	54	140.540364583333	0.383333333333333
-45	55.5	126.494750976562	0.143333333333333
-45	57	135.216267903646	0.27
-45	58.5	155.084838867188	0.566666666666667
-45	60	170.050252278646	0.796666666666667
-45	61.5	170.080769856771	0.82
-45	63	162.837931315104	0.693333333333333
-45	64.5	145.681762695312	0.406666666666667
-45	66	129.275919596354	0.17
-45	67.5	134.248860677083	0.263333333333333
-45	69	152.218831380208	0.533333333333333
-45	70.5	166.940511067708	0.77
-45	72	172.102254231771	0.85
-45	73.5	161.971435546875	0.696666666666667
-45	75	142.985432942708	0.39
-45	76.5	128.858235677083	0.17
-45	78	132.076822916667	0.243333333333333
-45	79.5	152.57080078125	0.543333333333333
-45	81	167.655436197917	0.76
-45	82.5	171.461791992188	0.843333333333333
-45	84	162.021687825521	0.686666666666667
-45	85.5	146.131998697917	0.413333333333333
-45	87	125.994262695312	0.133333333333333
-45	88.5	131.963704427083	0.206666666666667
-45	90	155.257975260417	0.58
-45	91.5	168.511759440104	0.786666666666667
-45	93	173.930867513021	0.876666666666667
-45	94.5	160.398763020833	0.663333333333333
-45	96	145.348103841146	0.44
-45	97.5	128.595987955729	0.166666666666667
-45	99	134.674072265625	0.263333333333333
-45	100.5	156.695149739583	0.596666666666667
-45	102	167.032063802083	0.776666666666667
-45	103.5	175.522054036458	0.873333333333333
-45	105	168.58642578125	0.76
-45	106.5	141.150716145833	0.363333333333333
-45	108	134.884236653646	0.226666666666667
-45	109.5	131.099039713542	0.21
-45	111	146.845499674479	0.446666666666667
-45	112.5	168.446451822917	0.783333333333333
-45	114	175.365804036458	0.893333333333333
-45	115.5	165.424194335938	0.736666666666667
-45	117	145.398966471354	0.436666666666667
-45	118.5	127.636922200521	0.146666666666667
-45	120	130.772094726562	0.193333333333333
-45	121.5	149.451293945312	0.48
-45	123	167.561848958333	0.766666666666667
-45	124.5	173.922322591146	0.85
-45	126	163.570760091146	0.7
-45	127.5	145.484415690104	0.41
-45	129	129.652303059896	0.166666666666667
-45	130.5	133.170166015625	0.226666666666667
-45	132	148.685506184896	0.466666666666667
-45	133.5	167.709350585938	0.76
-45	135	175.081176757812	0.856666666666667
-45	136.5	167.719116210938	0.753333333333333
-45	138	148.509521484375	0.44
-45	139.5	130.583089192708	0.18
-45	141	131.685587565104	0.176666666666667
-45	142.5	150.789184570312	0.46
-45	144	167.631429036458	0.726666666666667
-45	145.5	176.266072591146	0.886666666666667
-45	147	169.551595052083	0.78
-45	148.5	143.865152994792	0.403333333333333
-45	150	133.299967447917	0.24

-40	0	165.050455729167	0.716666666666667
-40	1.5	143.403523763021	0.363333333333333
-40	3	131.774291992188	0.203333333333333
-40	4.5	136.718343098958	0.24
-40	6	155.266723632812	0.553333333333333
-40	7.5	173.051350911458	0.816666666666667
-40	9	173.600260416667	0.833333333333333
-40	10.5	160.712687174479	0.633333333333333
-40	12	142.948201497396	0.353333333333333
-40	13.5	129.219767252604	0.146666666666667
-40	15	134.564819335938	0.24
-40	16.5	154.128824869792	0.533333333333333
-40	18	174.515787760417	0.843333333333333
-40	19.5	173.172810872396	0.84
-40	21	159.417928059896	0.623333333333333
-40	22.5	144.514770507812	0.396666666666667
-40	24	131.485392252604	0.2
-40	25.5	135.799967447917	0.276666666666667
-40	27	152.506306966146	0.51
-40	28.5	173.281453450521	0.826666666666667
-40	30	176.638793945312	0.88
-40	31.5	165.012613932292	0.71
-40	33	143.903401692708	0.376666666666667
-40	34.5	130.257161458333	0.186666666666667
-40	36	136.011962890625	0.25
-40	37.5	152.635091145833	0.513333333333333
-40	39	170.21484375	0.79
-40	40.5	173.617350260417	0.856666666666667
-40	42	163.577677408854	0.683333333333333
-40	43.5	137.053629557292	0.3
-40	45	128.678181966146	0.146666666666667
-40	46.5	138.317260742188	0.303333333333333
-40	48	155.424601236979	0.556666666666667
-40	49.5	169.462483723958	0.756666666666667
-40	51	176.552937825521	0.873333333333333
-40	52.5	163.634440104167	0.69
-40	54	143.186848958333	0.38
-40	55.5	128.551228841146	0.153333333333333
-40	57	134.019978841146	0.24
-40	58.5	156.706949869792	0.59
-40	60	170.596923828125	0.8
-40	61.5	171.923217773438	0.84
-40	63	162.868041992188	0.676666666666667
-40	64.5	143.052368164062	0.376666666666667
-40	66	129.86083984375	0.173333333333333
-40	67.5	131.520792643229	0.196666666666667
-40	69	155.674235026042	0.573333333333333
-40	70.5	171.300252278646	0.8
-40	72	175.398152669271	0.86
-40	73.5	163.999837239583	0.686666666666667
-40	75	145.565592447917	0.41
-40	76.5	128.570149739583	0.146666666666667
-40	78	131.427205403646	0.21
-40	79.5	151.851603190104	0.506666666666667
-40	81	169.338175455729	0.793333333333333
-40	82.5	175.398763020833	0.87
-40	84	162.01416015625	0.676666666666667
-40	85.5	141.282552083333	0.353333333333333
-40	87	127.171223958333	0.126666666666667
-40	88.5	132.533976236979	0.21
-40	90	150.682373046875	0.476666666666667
-40	91.5	172.001342773438	0.813333333333333
-40	93	172.789916992188	0.843333333333333
-40	94.5	162.519734700521	0.683333333333333
-40	96	139.789835611979	0.336666666666667
-40	97.5	127.244262695312	0.14
-40	99	134.557698567708	0.26
-40	100.5	149.886881510417	0.516666666666667
-40	102	169.543660481771	0.8
-40	103.5	173.315226236979	0.856666666666667
-40	105	165.467325846354	0.716666666666667
-40	106.5	144.844156901042	0.413333333333333
-40	108	128.135986328125	0.16
-40	109.5	132.830607096354	0.216666666666667
-40	111	150.783081054688	0.503333333333333
-40	112.5	171.439412434896	0.813333333333333
-40	114	174.498087565104	0.856666666666667
-40	115.5	161.452433268229	0.673333333333333
-40	117	143.790690104167	0.396666666666667
-40	118.5	130.314127604167	0.19
-40	120	131.361083984375	0.213333333333333
-40	121.5	155.41259765625	0.573333333333333
-40	123	171.325887044271	0.823333333333333
-40	124.5	175.056355794271	0.866666666666667
-40	126	163.831787109375	0.7
-40	127.5	142.6904296875	0.38
-40	129	131.117960611979	0.203333333333333
-40	130.5	131.565348307292	0.22
-40	132	147.100830078125	0.463333333333333
-40	133.5	168.941446940104	0.773333333333333
-40	135	173.716227213542	0.866666666666667
-40	136.5	167.3193359375	0.75
-40	138	149.748738606771	0.48
-40	139.5	127.977498372396	0.183333333333333
-40	141	128.565673828125	0.176666666666667
-40	142.5	151.871134440104	0.546666666666667
-40	144	167.13134765625	0.783333333333333
-40	145.5	169.915364583333	0.843333333333333
-40	147	164.778238932292	0.753333333333333
-40	148.5	142.578531901042	0.396666666666667
-40	150	125.465901692708	0.146666666666667

-35	0	165.218709309896	0.723333333333333
-35	1.5	141.973673502604	0.37
-35	3	127.234090169271	0.126666666666667
-35	4.5	131.344604492188	0.216666666666667
-35	6	150.490519205729	0.496666666666667
-35	7.5	169.07470703125	0.77
-35	9	174.26513671875	0.86
-35	10.5	165.826619466146	0.7
-35	12	145.303751627604	0.403333333333333
-35	13.5	130.193481445312	0.156666666666667
-35	15	133.778889973958	0.22
-35	16.5	150.785522460938	0.486666666666667
-35	18	169.640299479167	0.796666666666667
-35	19.5	173.543904622396	0.823333333333333
-35	21	160.361938476562	0.63
-35	22.5	143.129475911458	0.376666666666667
-35	24	127.942708333333	0.15
-35	25.5	132.398885091146	0.23
-35	27	150.351969401042	0.51
-35	28.5	169.407958984375	0.766666666666667
-35	30	174.981282552083	0.87
-35	31.5	162.031656901042	0.68
-35	33	144.089152018229	0.376666666666667
-35	34.5	129.167887369792	0.173333333333333
-35	36	135.495808919271	0.256666666666667
-35	37.5	153.101806640625	0.506666666666667
-35	39	172.24609375	0.796666666666667
-35	40.5	177.513834635417	0.88
-35	42	164.451700846354	0.706666666666667
-35	43.5	144.096883138021	0.393333333333333
-35	45	128.755086263021	0.146666666666667
-35	46.5	133.046061197917	0.203333333333333
-35	48	153.736368815104	0.51
-35	49.5	169.726969401042	0.763333333333333
-35	51	176.568603515625	0.85
-35	52.5	161.047973632812	0.663333333333333
-35	54	142.056477864583	0.363333333333333
-35	55.5	127.829386393229	0.126666666666667
-35	57	132.903645833333	0.21
-35	58.5	152.3828125	0.55
-35	60	164.441528320312	0.743333333333333
-35	61.5	169.991861979167	0.793333333333333
-35	63	167.385457356771	0.74
-35	64.5	145.367024739583	0.39
-35	66	133.206990559896	0.196666666666667
-35	67.5	138.674926757812	0.273333333333333
-35	69	153.61572265625	0.536666666666667
-35	70.5	171.214803059896	0.816666666666667
-35	72	171.064046223958	0.806666666666667
-35	73.5	159.1455078125	0.646666666666667
-35	75	144.072265625	0.4
-35	76.5	131.080729166667	0.183333333333333
-35	78	135.005086263021	0.23
-35	79.5	153.6767578125	0.513333333333333
-35	81	167.985026041667	0.773333333333333
-35	82.5	175.719197591146	0.886666666666667
-35	84	161.7724609375	0.676666666666667
-35	85.5	143.433227539062	0.38
-35	87	131.388753255208	0.186666666666667
-35	88.5	134.848022460938	0.243333333333333
-35	90	152.363891601562	0.52
-35	91.5	170.410970052083	0.796666666666667
-35	93	174.936930338542	0.87
-35	94.5	169.103800455729	0.763333333333333
-35	96	142.938842773438	0.363333333333333
-35	97.5	134.181315104167	0.213333333333333
-35	99	135.542195638021	0.23
-35	100.5	154.160359700521	0.52
-35	102	171.100870768229	0.803333333333333
-35	103.5	176.382853190104	0.886666666666667
-35	105	162.20458984375	0.696666666666667
-35	106.5	141.308186848958	0.353333333333333
-35	108	132.33642578125	0.21
-35	109.5	131.16455078125	0.22
-35	111	149.864908854167	0.496666666666667
-35	112.5	165.62744140625	0.763333333333333
-35	114	172.657674153646	0.87
-35	115.5	164.382527669271	0.74
-35	117	144.644368489583	0.396666666666667
-35	118.5	128.500773111979	0.136666666666667
-35	120	133.936971028646	0.24
-35	121.5	153.070678710938	0.516666666666667
-35	123	171.419677734375	0.803333333333333
-35	124.5	173.908894856771	0.853333333333333
-35	126	168.208821614583	0.76
-35	127.5	140.781656901042	0.356666666666667
-35	129	129.656575520833	0.18
-35	130.5	132.094319661458	0.216666666666667
-35	132	148.181355794271	0.486666666666667
-35	133.5	170.864868164062	0.81
-35	135	170.4833984375	0.816666666666667
-35	136.5	166.268717447917	0.753333333333333
-35	138	144.818929036458	0.42
-35	139.5	129.026692708333	0.173333333333333
-35	141	132.506510416667	0.233333333333333
-35	142.5	149.911702473958	0.49
-35	144	169.820760091146	0.793333333333333
-35	145.5	171.923624674479	0.856666666666667
-35	147	164.933268229167	0.733333333333333
-35	148.5	148.758951822917	0.473333333333333
-35	150	128.14208984375	0.176666666666667

-30	0	163.676961263021	0.703333333333333
-30	1.5	144.998372395833	0.41
-30	3	129.173787434896	0.18
-30	4.5	137.3193359375	0.286666666666667
-30	6	152.386271158854	0.526666666666667
-30	7.5	169.039103190104	0.803333333333333
-30	9	175.226033528646	0.883333333333333
-30	10.5	164.198201497396	0.703333333333333
-30	12	145.27587890625	0.393333333333333
-30	13.5	130.451863606771	0.17
-30	15	130.493367513021	0.18
-30	16.5	148.669840494792	0.473333333333333
-30	18	167.571818033854	0.77
-30	19.5	173.485514322917	0.87
-30	21	161.621907552083	0.683333333333333
-30	22.5	139.603678385417	0.323333333333333
-30	24	129.181315104167	0.186666666666667
-30	25.5	136.396687825521	0.24
-30	27	156.946818033854	0.563333333333333
-30	28.5	169.04052734375	0.766666666666667
-30	30	172.125244140625	0.84
-30	31.5	164.683024088542	0.706666666666667
-30	33	146.438598632812	0.436666666666667
-30	34.5	133.771362304688	0.246666666666667
-30	36	130.035196940104	0.193333333333333
-30	37.5	151.814982096354	0.523333333333333
-30	39	167.334594726562	0.77
-30	40.5	171.203002929688	0.836666666666667
-30	42	160.848999023438	0.66
-30	43.5	143.388061523438	0.39
-30	45	127.841186523438	0.146666666666667
-30	46.5	132.251180013021	0.223333333333333
-30	48	149.871826171875	0.523333333333333
-30	49.5	165.740966796875	0.783333333333333
-30	51	171.5673828125	0.86
-30	52.5	163.900146484375	0.72
-30	54	149.807942708333	0.483333333333333
-30	55.5	130.247599283854	0.183333333333333
-30	57	132.643839518229	0.23
-30	58.5	148.842569986979	0.48
-30	60	167.731323242188	0.78
-30	61.5	174.585774739583	0.873333333333333
-30	63	164.369506835938	0.7
-30	64.5	146.114705403646	0.416666666666667
