# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 53
0	0.693333333333333
37.6	0.813333333333333
75.2	0.88
112.8	0.79
150.4	0.703333333333333
188	0.55
225.6	0.373333333333333
263.2	0.253333333333333
300.8	0.18
338.4	0.206666666666667
376	0.346666666666667
413.6	0.526666666666667
451.2	0.68
488.8	0.833333333333333
526.4	0.9
564	0.85
601.6	0.73
639.2	0.533333333333333
676.8	0.366666666666667
714.4	0.25
752	0.156666666666667
789.6	0.19
827.2	0.326666666666667
864.8	0.473333333333333
902.4	0.69
940	0.716666666666667
977.6	0.836666666666667
1015.2	0.863333333333333
1052.8	0.84
1090.4	0.726666666666667
1128	0.566666666666667
1165.6	0.31
1203.2	0.243333333333333
1240.8	0.18
1278.4	0.213333333333333
1316	0.286666666666667
1353.6	0.453333333333333
1391.2	0.586666666666667
1428.8	0.766666666666667
1466.4	0.8
1504	0.83
1541.6	0.736666666666667
1579.2	0.613333333333333
1616.8	0.49
1654.4	0.333333333333333
1692	0.253333333333333
1729.6	0.203333333333333
1767.2	0.306666666666667
1804.8	0.516666666666667
1842.4	0.663333333333333
1880	0.583333333333333
1917.6	0.776666666666667
1955.2	0.773333333333333
