# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 51
0	0.8875
1.5	0.85
3	0.8375
4.5	0.5625
6	0.35
7.5	0.225
9	0.1875
10.5	0.1375
12	0.2375
13.5	0.3625
15	0.6
16.5	0.7375
18	0.8
19.5	0.8
21	0.85
22.5	0.8375
24	0.7125
25.5	0.4375
27	0.25
28.5	0.2
30	0.175
31.5	0.2625
33	0.3125
34.5	0.4375
36	0.7
37.5	0.7375
39	0.8375
40.5	0.85
42	0.8875
43.5	0.7
45	0.6125
46.5	0.4
48	0.1875
49.5	0.1375
51	0.2
52.5	0.2625
54	0.45
55.5	0.5625
57	0.7
58.5	0.6875
60	0.9
61.5	0.925
63	0.7875
64.5	0.6625
66	0.4125
67.5	0.275
69	0.225
70.5	0.1875
72	0.225
73.5	0.3625
75	0.475
