# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 67
0	0.84
7.4	0.86
14.8	0.873333333333333
22.2	0.78
29.6	0.683333333333333
37	0.453333333333333
44.4	0.32
51.8	0.283333333333333
59.2	0.226666666666667
66.6	0.266666666666667
74	0.34
81.4	0.396666666666667
88.8	0.466666666666667
96.2	0.61
103.6	0.766666666666667
111	0.706666666666667
118.4	0.763333333333333
125.8	0.693333333333333
133.2	0.713333333333333
140.6	0.69
148	0.633333333333333
155.4	0.646666666666667
162.8	0.46
170.2	0.553333333333333
177.6	0.593333333333333
185	0.596666666666667
192.4	0.486666666666667
199.8	0.403333333333333
207.2	0.516666666666667
214.6	0.45
222	0.57
229.4	0.49
236.8	0.513333333333333
244.2	0.566666666666667
251.6	0.586666666666667
259	0.623333333333333
266.4	0.58
273.8	0.533333333333333
281.2	0.616666666666667
288.6	0.51
296	0.553333333333333
303.4	0.5
310.8	0.466666666666667
318.2	0.516666666666667
325.6	0.536666666666667
333	0.473333333333333
340.4	0.533333333333333
347.8	0.5
355.2	0.503333333333333
362.6	0.523333333333333
370	0.556666666666667
377.4	0.54
384.8	0.486666666666667
392.2	0.56
399.6	0.55
407	0.603333333333333
414.4	0.546666666666667
421.8	0.51
429.2	0.566666666666667
436.6	0.553333333333333
444	0.53
451.4	0.523333333333333
458.8	0.57
466.2	0.483333333333333
473.6	0.523333333333333
481	0.476666666666667
488.4	0.543333333333333
