# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 51
0	0.1875
1.2	0.35
2.4	0.525
3.6	0.85
4.8	0.825
6	0.8
7.2	0.65
8.4	0.35
9.6	0.15
10.8	0.2125
12	0.3125
13.2	0.5
14.4	0.675
15.6	0.8375
16.8	0.8125
18	0.675
19.2	0.425
20.4	0.225
21.6	0.2375
22.8	0.2875
24	0.65
25.2	0.8
26.4	0.825
27.6	0.75
28.8	0.6625
30	0.375
31.2	0.2375
32.4	0.225
33.6	0.3125
34.8	0.6375
36	0.7
37.2	0.775
38.4	0.7625
39.6	0.6
40.8	0.3375
42	0.2
43.2	0.2375
44.4	0.3375
45.6	0.7125
46.8	0.775
48	0.825
49.2	0.7875
50.4	0.5625
51.6	0.3
52.8	0.225
54	0.175
55.2	0.375
56.4	0.6125
57.6	0.7625
58.8	0.8625
60	0.7875
