# t_cz_set	avg_S_North	su_S_North
# "t_cz"	"avg_S_North"	"su_S_North"
# 101
0	163.482462565104	0.716666666666667
39.5	157.717488606771	0.62
79	148.726806640625	0.496666666666667
118.5	147.667032877604	0.466666666666667
158	139.360961914062	0.333333333333333
197.5	140.034383138021	0.35
237	133.535970052083	0.27
276.5	131.479288736979	0.23
316	129.291585286458	0.193333333333333
355.5	128.373006184896	0.18
395	128.677978515625	0.183333333333333
434.5	133.225911458333	0.256666666666667
474	135.211385091146	0.29
513.5	139.412841796875	0.346666666666667
553	143.502604166667	0.416666666666667
592.5	148.986206054688	0.486666666666667
632	155.511474609375	0.596666666666667
671.5	160.570882161458	0.686666666666667
711	160.989786783854	0.676666666666667
750.5	165.473429361979	0.763333333333333
790	171.201782226562	0.843333333333333
829.5	170.872802734375	0.85
869	172.620646158854	0.873333333333333
908.5	172.410685221354	0.876666666666667
948	171.548258463542	0.88
987.5	172.280069986979	0.84
1027	165.787760416667	0.773333333333333
1066.5	167.867635091146	0.8
1106	165.388997395833	0.766666666666667
1145.5	161.180623372396	0.7
1185	152.537841796875	0.556666666666667
1224.5	146.807861328125	0.48
1264	137.20458984375	0.316666666666667
1303.5	139.058227539062	0.34
1343	129.135538736979	0.176666666666667
1382.5	137.94921875	0.29
1422	134.321695963542	0.256666666666667
1461.5	134.835205078125	0.256666666666667
1501	129.444986979167	0.186666666666667
1540.5	134.879150390625	0.256666666666667
1580	135.539347330729	0.273333333333333
1619.5	143.280843098958	0.43
1659	140.325113932292	0.34
1698.5	143.92578125	0.41
1738	148.441975911458	0.51
1777.5	143.294881184896	0.416666666666667
1817	145.347086588542	0.466666666666667
1856.5	149.660441080729	0.53
1896	151.609090169271	0.54
1935.5	156.766153971354	0.65
1975	154.949544270833	0.586666666666667
2014.5	163.103434244792	0.71
2054	170.604654947917	0.823333333333333
2093.5	168.608601888021	0.793333333333333
2133	169.808146158854	0.81
2172.5	169.060872395833	0.813333333333333
2212	166.868286132812	0.776666666666667
2251.5	165.509440104167	0.743333333333333
2291	163.584798177083	0.713333333333333
2330.5	157.598266601562	0.616666666666667
2370	151.434936523438	0.52
2409.5	152.322184244792	0.526666666666667
2449	143.726399739583	0.413333333333333
2488.5	140.509033203125	0.343333333333333
2528	138.371988932292	0.32
2567.5	141.277058919271	0.346666666666667
2607	140.473225911458	0.343333333333333
2646.5	134.766642252604	0.256666666666667
2686	137.865804036458	0.31
2725.5	137.337646484375	0.303333333333333
2765	137.316691080729	0.306666666666667
2804.5	136.940104166667	0.336666666666667
2844	141.986287434896	0.39
2883.5	148.64990234375	0.496666666666667
2923	143.269246419271	0.413333333333333
2962.5	150.114135742188	0.52
3002	153.873087565104	0.556666666666667
3041.5	156.846720377604	0.626666666666667
3081	154.260864257812	0.56
3120.5	153.719685872396	0.546666666666667
3160	162.916666666667	0.72
3199.5	165.208740234375	0.743333333333333
3239	163.940022786458	0.746666666666667
3278.5	163.552652994792	0.726666666666667
3318	165.828653971354	0.76
3357.5	163.735961914062	0.72
3397	164.584147135417	0.73
3436.5	161.444091796875	0.696666666666667
3476	153.521931966146	0.56
3515.5	152.355346679688	0.55
3555	146.177775065104	0.47
3594.5	143.772786458333	0.443333333333333
3634	142.721761067708	0.43
3673.5	152.436726888021	0.566666666666667
3713	145.2099609375	0.45
3752.5	142.433878580729	0.403333333333333
3792	139.632364908854	0.37
3831.5	143.692626953125	0.44
3871	140.429077148438	0.373333333333333
3910.5	138.128458658854	0.34
3950	144.851481119792	0.446666666666667
