# t_cz_set	avg_S_North	su_S_North
# "t_cz"	"avg_S_North"	"su_S_North"
# 101
0	158.831380208333	0.63
39.5	148.530476888021	0.466666666666667
79	134.425659179688	0.263333333333333
118.5	127.667236328125	0.176666666666667
158	126.830444335938	0.153333333333333
197.5	132.105712890625	0.236666666666667
237	141.583048502604	0.386666666666667
276.5	154.512125651042	0.593333333333333
316	163.8525390625	0.733333333333333
355.5	172.630208333333	0.856666666666667
395	175.637613932292	0.906666666666667
434.5	168.043009440104	0.783333333333333
474	164.564615885417	0.753333333333333
513.5	151.030883789062	0.54
553	140.309448242188	0.373333333333333
592.5	133.973592122396	0.273333333333333
632	128.890380859375	0.203333333333333
671.5	133.3642578125	0.273333333333333
711	139.188435872396	0.34
750.5	147.859700520833	0.49
790	159.131469726562	0.683333333333333
829.5	167.031860351562	0.81
869	170.706380208333	0.86
908.5	169.039103190104	0.833333333333333
948	158.55712890625	0.67
987.5	157.648518880208	0.646666666666667
1027	137.585652669271	0.343333333333333
1066.5	131.54296875	0.26
1106	130.158081054688	0.203333333333333
1145.5	130.304158528646	0.22
1185	137.415161132812	0.323333333333333
1224.5	145.771687825521	0.45
1264	153.763427734375	0.59
1303.5	164.930826822917	0.756666666666667
1343	172.002766927083	0.85
1382.5	169.617919921875	0.83
1422	166.816813151042	0.78
1461.5	165.425211588542	0.763333333333333
1501	152.125651041667	0.543333333333333
1540.5	143.389282226562	0.426666666666667
1580	130.086466471354	0.223333333333333
1619.5	129.242350260417	0.213333333333333
1659	136.097005208333	0.316666666666667
1698.5	144.072265625	0.45
1738	153.247884114583	0.566666666666667
1777.5	162.759399414062	0.69
1817	165.206909179688	0.736666666666667
1856.5	166.637369791667	0.766666666666667
1896	166.894938151042	0.796666666666667
1935.5	159.965616861979	0.68
1975	158.112182617188	0.633333333333333
2014.5	145.498657226562	0.463333333333333
2054	142.172648111979	0.376666666666667
2093.5	129.446614583333	0.196666666666667
2133	130.790608723958	0.21
2172.5	134.588419596354	0.256666666666667
2212	137.997233072917	0.32
2251.5	151.490071614583	0.546666666666667
2291	157.46826171875	0.623333333333333
2330.5	161.890462239583	0.686666666666667
2370	169.801025390625	0.803333333333333
2409.5	168.352457682292	0.803333333333333
2449	167.897745768229	0.783333333333333
2488.5	151.871541341146	0.536666666666667
2528	142.589314778646	0.403333333333333
2567.5	140.974527994792	0.346666666666667
2607	133.274332682292	0.236666666666667
2646.5	137.363688151042	0.31
2686	139.061482747396	0.333333333333333
2725.5	149.907633463542	0.5
2765	152.846069335938	0.54
2804.5	157.917277018229	0.61
2844	162.005818684896	0.68
2883.5	164.493408203125	0.736666666666667
2923	163.274332682292	0.73
2962.5	157.796223958333	0.646666666666667
3002	139.996948242188	0.386666666666667
3041.5	146.643880208333	0.45
3081	142.523600260417	0.39
3120.5	134.70703125	0.286666666666667
3160	136.599527994792	0.333333333333333
3199.5	140.305989583333	0.38
3239	142.480875651042	0.393333333333333
3278.5	151.621704101562	0.543333333333333
3318	165.050455729167	0.746666666666667
3357.5	167.465209960938	0.79
3397	166.013590494792	0.766666666666667
3436.5	166.444905598958	0.773333333333333
3476	154.68505859375	0.583333333333333
3515.5	156.085815429688	0.63
3555	141.847330729167	0.393333333333333
3594.5	137.913614908854	0.336666666666667
3634	138.012491861979	0.33
3673.5	136.829427083333	0.3
3713	144.293823242188	0.443333333333333
3752.5	150.236002604167	0.513333333333333
3792	157.438557942708	0.626666666666667
3831.5	160.569254557292	0.703333333333333
3871	164.738362630208	0.75
3910.5	163.158569335938	0.736666666666667
3950	166.21826171875	0.763333333333333
