# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 31
0	0.516666666666667
1	0.51
2	0.4
3	0.31
4	0.193333333333333
5	0.146666666666667
6	0.103333333333333
7	0.0866666666666667
8	0.136666666666667
9	0.176666666666667
10	0.266666666666667
11	0.396666666666667
12	0.413333333333333
13	0.506666666666667
14	0.563333333333333
15	0.78
16	0.82
17	0.873333333333333
18	0.883333333333333
19	0.903333333333333
20	0.906666666666667
21	0.853333333333333
22	0.823333333333333
23	0.63
24	0.59
25	0.466666666666667
26	0.363333333333333
27	0.253333333333333
28	0.21
29	0.13
30	0.07
