# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 31
0	0.573333333333333
1	0.48
2	0.4
3	0.266666666666667
4	0.206666666666667
5	0.15
6	0.136666666666667
7	0.12
8	0.15
9	0.206666666666667
10	0.27
11	0.386666666666667
12	0.496666666666667
13	0.633333333333333
14	0.613333333333333
15	0.686666666666667
16	0.85
17	0.88
18	0.92
19	0.923333333333333
20	0.856666666666667
21	0.85
22	0.766666666666667
23	0.626666666666667
24	0.543333333333333
25	0.42
26	0.36
27	0.283333333333333
28	0.183333333333333
29	0.17
30	0.09
