# Jon_vpB12_set	t_ramp_set	su00	su01	su10	su11
# "Jon_vpB12"	"t_ramp"	"su00"	"su01"	"su10"	"su11"
# 11	81
-65	12	0.0679999999999999	0.792	0.106	0.034
-65	12.5	0.0619999999999999	0.868	0.032	0.038
-65	13	0.114	0.812	0.034	0.04
-65	13.5	0.13	0.466	0.38	0.024
-65	14	0.104	0.14	0.71	0.046
-65	14.5	0.108	0.25	0.602	0.04
-65	15	0.106	0.686	0.172	0.036
-65	15.5	0.086	0.864	0.01	0.04
-65	16	0.098	0.822	0.042	0.038
-65	16.5	0.112	0.804	0.04	0.044
-65	17	0.09	0.834	0.016	0.06
-65	17.5	0.102	0.824	0.034	0.04
-65	18	0.07	0.858	0.018	0.054
-65	18.5	0.1	0.846	0.01	0.044
-65	19	0.086	0.86	0.012	0.042
-65	19.5	0.09	0.844	0.022	0.044
-65	20	0.072	0.87	0.008	0.05
-65	20.5	0.076	0.866	0.022	0.036
-65	21	0.076	0.846	0.02	0.058
-65	21.5	0.084	0.862	0.018	0.036
-65	22	0.07	0.872	0.002	0.056
-65	22.5	0.0659999999999999	0.884	0.018	0.032
-65	23	0.108	0.848	0.014	0.03
-65	23.5	0.098	0.832	0.016	0.054
-65	24	0.108	0.844	0.01	0.038
-65	24.5	0.076	0.878	0.012	0.034
-65	25	0.086	0.876	0.012	0.026
-65	25.5	0.088	0.858	0.014	0.04
-65	26	0.11	0.834	0.01	0.046
-65	26.5	0.126	0.816	0.01	0.048
-65	27	0.108	0.838	0.01	0.044
-65	27.5	0.09	0.876	0.01	0.024
-65	28	0.098	0.832	0.01	0.06
-65	28.5	0.074	0.838	0.018	0.07
-65	29	0.132	0.788	0.014	0.066
-65	29.5	0.094	0.854	0.014	0.038
-65	30	0.0619999999999999	0.894	0.016	0.028
-65	30.5	0.094	0.852	0.022	0.032
-65	31	0.1	0.856	0.01	0.034
-65	31.5	0.072	0.886	0.01	0.032
-65	32	0.0519999999999999	0.906	0.016	0.026
-65	32.5	0.078	0.882	0.008	0.032
-65	33	0.0679999999999999	0.88	0.01	0.042
-65	33.5	0.098	0.856	0.012	0.034
-65	34	0.088	0.88	0.006	0.026
-65	34.5	0.102	0.832	0.012	0.054
-65	35	0.092	0.874	0.006	0.028
-65	35.5	0.08	0.882	0.004	0.034
-65	36	0.094	0.866	0.012	0.028
-65	36.5	0.08	0.868	0.01	0.042
-65	37	0.106	0.848	0.006	0.04
-65	37.5	0.078	0.85	0.02	0.052
-65	38	0.092	0.844	0.03	0.034
-65	38.5	0.084	0.85	0.026	0.04
-65	39	0.1	0.86	0.01	0.03
-65	39.5	0.0619999999999999	0.892	0.012	0.034
-65	40	0.088	0.854	0.012	0.046
-65	40.5	0.096	0.868	0.008	0.028
-65	41	0.084	0.874	0.008	0.034
-65	41.5	0.104	0.844	0.014	0.038
-65	42	0.09	0.878	0.002	0.03
-65	42.5	0.1	0.852	0.012	0.036
-65	43	0.078	0.888	0.006	0.028
-65	43.5	0.086	0.87	0.012	0.032
-65	44	0.086	0.878	0.016	0.02
-65	44.5	0.074	0.888	0.014	0.024
-65	45	0.088	0.85	0.016	0.046
-65	45.5	0.08	0.876	0.018	0.026
-65	46	0.0639999999999999	0.874	0.014	0.048
-65	46.5	0.074	0.87	0.016	0.04
-65	47	0.08	0.87	0.008	0.042
-65	47.5	0.074	0.888	0.006	0.032
-65	48	0.074	0.87	0.012	0.044
-65	48.5	0.082	0.882	0.004	0.032
-65	49	0.092	0.848	0.01	0.05
-65	49.5	0.096	0.862	0.012	0.03
-65	50	0.092	0.85	0.016	0.042
-65	50.5	0.084	0.874	0.008	0.034
-65	51	0.098	0.862	0.002	0.038
-65	51.5	0.11	0.848	0.008	0.034
-65	52	0.076	0.904	0	0.02

-67	12	0.092	0.74	0.134	0.034
-67	12.5	0.1	0.772	0.076	0.052
-67	13	0.102	0.79	0.062	0.046
-67	13.5	0.142	0.388	0.44	0.03
-67	14	0.116	0.04	0.82	0.024
-67	14.5	0.1	0.268	0.592	0.04
-67	15	0.09	0.758	0.11	0.042
-67	15.5	0.08	0.854	0.03	0.036
-67	16	0.106	0.782	0.066	0.046
-67	16.5	0.0519999999999999	0.88	0.03	0.038
-67	17	0.088	0.87	0.01	0.032
-67	17.5	0.074	0.874	0.018	0.034
-67	18	0.08	0.862	0.022	0.036
-67	18.5	0.086	0.866	0.014	0.034
-67	19	0.086	0.866	0.01	0.038
-67	19.5	0.072	0.872	0.016	0.04
-67	20	0.092	0.862	0.008	0.038
-67	20.5	0.088	0.844	0.012	0.056
-67	21	0.0559999999999999	0.9	0.01	0.034
-67	21.5	0.084	0.86	0.008	0.048
-67	22	0.08	0.882	0.008	0.03
-67	22.5	0.074	0.888	0.014	0.024
-67	23	0.072	0.882	0.012	0.034
-67	23.5	0.0519999999999999	0.888	0.02	0.04
-67	24	0.0619999999999999	0.896	0.01	0.032
-67	24.5	0.082	0.868	0.008	0.042
-67	25	0.08	0.882	0.01	0.028
-67	25.5	0.086	0.864	0.024	0.026
-67	26	0.1	0.872	0.006	0.022
-67	26.5	0.106	0.846	0.018	0.03
-67	27	0.11	0.836	0.006	0.048
-67	27.5	0.084	0.866	0.014	0.036
-67	28	0.08	0.88	0.012	0.028
-67	28.5	0.094	0.848	0.01	0.048
-67	29	0.0559999999999999	0.866	0.008	0.07
-67	29.5	0.086	0.868	0.018	0.028
-67	30	0.086	0.838	0.028	0.048
-67	30.5	0.0539999999999999	0.896	0.016	0.034
-67	31	0.074	0.888	0.008	0.03
-67	31.5	0.094	0.86	0.006	0.04
-67	32	0.084	0.872	0.01	0.034
-67	32.5	0.082	0.886	0.004	0.028
-67	33	0.088	0.854	0.012	0.046
-67	33.5	0.086	0.882	0.006	0.026
-67	34	0.082	0.876	0.004	0.038
-67	34.5	0.094	0.868	0.014	0.024
-67	35	0.076	0.864	0.028	0.032
-67	35.5	0.0659999999999999	0.878	0.01	0.046
-67	36	0.076	0.892	0.01	0.022
-67	36.5	0.086	0.858	0.01	0.046
-67	37	0.072	0.88	0.01	0.038
-67	37.5	0.1	0.824	0.014	0.062
-67	38	0.09	0.85	0.018	0.042
-67	38.5	0.0679999999999999	0.87	0.014	0.048
-67	39	0.08	0.878	0.004	0.038
-67	39.5	0.0619999999999999	0.892	0.012	0.034
-67	40	0.086	0.86	0.018	0.036
-67	40.5	0.1	0.84	0.014	0.046
-67	41	0.08	0.886	0.008	0.026
-67	41.5	0.084	0.878	0.012	0.026
-67	42	0.08	0.856	0.014	0.05
-67	42.5	0.092	0.852	0.014	0.042
-67	43	0.086	0.858	0.016	0.04
-67	43.5	0.0619999999999999	0.896	0.004	0.038
-67	44	0.07	0.88	0.008	0.042
-67	44.5	0.102	0.858	0.006	0.034
-67	45	0.094	0.838	0.018	0.05
-67	45.5	0.086	0.866	0.01	0.038
-67	46	0.086	0.87	0.006	0.038
-67	46.5	0.082	0.866	0.012	0.04
-67	47	0.078	0.868	0.01	0.044
-67	47.5	0.09	0.858	0.014	0.038
-67	48	0.106	0.85	0.012	0.032
-67	48.5	0.084	0.866	0.014	0.036
-67	49	0.078	0.876	0.008	0.038
-67	49.5	0.096	0.854	0.024	0.026
-67	50	0.0679999999999999	0.872	0.014	0.046
-67	50.5	0.102	0.87	0.01	0.018
-67	51	0.102	0.848	0.016	0.034
-67	51.5	0.0659999999999999	0.89	0.006	0.038
-67	52	0.086	0.88	0.014	0.02

-69	12	0.0659999999999999	0.758	0.142	0.034
-69	12.5	0.09	0.826	0.054	0.03
-69	13	0.13	0.802	0.05	0.018
-69	13.5	0.144	0.406	0.404	0.046
-69	14	0.146	0.034	0.754	0.066
-69	14.5	0.102	0.36	0.504	0.034
-69	15	0.078	0.776	0.124	0.022
-69	15.5	0.074	0.86	0.022	0.044
-69	16	0.102	0.768	0.088	0.042
-69	16.5	0.086	0.842	0.034	0.038
-69	17	0.08	0.88	0.012	0.028
-69	17.5	0.074	0.858	0.034	0.034
-69	18	0.118	0.828	0.022	0.032
-69	18.5	0.102	0.858	0.014	0.026
-69	19	0.1	0.84	0.022	0.038
-69	19.5	0.0599999999999999	0.896	0.016	0.028
-69	20	0.08	0.854	0.01	0.056
-69	20.5	0.09	0.856	0.012	0.042
-69	21	0.088	0.872	0.014	0.026
-69	21.5	0.0679999999999999	0.876	0.006	0.05
-69	22	0.108	0.868	0.012	0.012
-69	22.5	0.092	0.86	0.012	0.036
-69	23	0.07	0.878	0.01	0.042
-69	23.5	0.09	0.87	0.008	0.032
-69	24	0.104	0.862	0.008	0.026
-69	24.5	0.0679999999999999	0.894	0.006	0.032
-69	25	0.08	0.87	0.01	0.04
-69	25.5	0.1	0.852	0.014	0.034
-69	26	0.082	0.86	0.018	0.04
-69	26.5	0.074	0.896	0.008	0.022
-69	27	0.104	0.856	0.008	0.032
-69	27.5	0.078	0.862	0.016	0.044
-69	28	0.108	0.838	0.014	0.04
-69	28.5	0.072	0.864	0.012	0.052
-69	29	0.088	0.86	0.012	0.04
-69	29.5	0.094	0.874	0.006	0.026
-69	30	0.0659999999999999	0.896	0.01	0.028
-69	30.5	0.082	0.882	0.01	0.026
-69	31	0.078	0.88	0.012	0.03
-69	31.5	0.076	0.88	0.006	0.038
-69	32	0.084	0.87	0.022	0.024
-69	32.5	0.086	0.876	0.01	0.028
-69	33	0.088	0.878	0.01	0.024
-69	33.5	0.084	0.87	0.01	0.036
-69	34	0.074	0.89	0.008	0.028
-69	34.5	0.072	0.868	0.016	0.044
-69	35	0.098	0.864	0.01	0.028
-69	35.5	0.08	0.882	0.01	0.028
-69	36	0.086	0.864	0.01	0.04
-69	36.5	0.088	0.874	0.014	0.024
-69	37	0.082	0.864	0.012	0.042
-69	37.5	0.08	0.848	0.022	0.05
-69	38	0.0679999999999999	0.884	0.01	0.038
-69	38.5	0.096	0.856	0.01	0.038
-69	39	0.078	0.88	0.01	0.032
-69	39.5	0.0659999999999999	0.894	0.012	0.028
-69	40	0.102	0.858	0.014	0.026
-69	40.5	0.0679999999999999	0.882	0.012	0.038
-69	41	0.082	0.87	0.01	0.038
-69	41.5	0.092	0.872	0.006	0.03
-69	42	0.0559999999999999	0.894	0.014	0.036
-69	42.5	0.0479999999999999	0.902	0.012	0.038
-69	43	0.076	0.86	0.016	0.048
-69	43.5	0.0679999999999999	0.89	0.014	0.028
-69	44	0.084	0.856	0.016	0.044
-69	44.5	0.076	0.878	0.004	0.042
-69	45	0.0559999999999999	0.906	0.006	0.032
-69	45.5	0.09	0.864	0.006	0.04
-69	46	0.108	0.852	0.006	0.034
-69	46.5	0.094	0.852	0.008	0.046
-69	47	0.078	0.882	0.016	0.024
-69	47.5	0.0679999999999999	0.894	0.01	0.028
-69	48	0.0599999999999999	0.87	0.012	0.058
-69	48.5	0.0679999999999999	0.874	0.014	0.044
-69	49	0.076	0.878	0.016	0.03
-69	49.5	0.086	0.858	0.022	0.034
-69	50	0.076	0.882	0.014	0.028
-69	50.5	0.0679999999999999	0.892	0.008	0.032
-69	51	0.108	0.844	0.014	0.034
-69	51.5	0.088	0.862	0.012	0.038
-69	52	0.0599999999999999	0.88	0.02	0.04

-71	12	0.084	0.73	0.158	0.028
-71	12.5	0.08	0.8	0.076	0.044
-71	13	0.158	0.742	0.066	0.034
-71	13.5	0.174	0.272	0.516	0.038
-71	14	0.108	0.07	0.774	0.048
-71	14.5	0.104	0.506	0.354	0.036
-71	15	0.078	0.846	0.044	0.032
-71	15.5	0.078	0.86	0.03	0.032
-71	16	0.074	0.8	0.09	0.036
-71	16.5	0.09	0.846	0.026	0.038
-71	17	0.072	0.87	0.016	0.042
-71	17.5	0.086	0.858	0.026	0.03
-71	18	0.094	0.856	0.008	0.042
-71	18.5	0.12	0.838	0.014	0.028
-71	19	0.0659999999999999	0.894	0.014	0.026
-71	19.5	0.0679999999999999	0.872	0.018	0.042
-71	20	0.08	0.874	0.008	0.038
-71	20.5	0.0519999999999999	0.902	0.014	0.032
-71	21	0.0619999999999999	0.892	0.01	0.036
-71	21.5	0.0619999999999999	0.886	0.01	0.042
-71	22	0.074	0.878	0.02	0.028
-71	22.5	0.0659999999999999	0.896	0.014	0.024
-71	23	0.0679999999999999	0.874	0.01	0.048
-71	23.5	0.0619999999999999	0.888	0.016	0.034
-71	24	0.114	0.844	0.008	0.034
-71	24.5	0.086	0.852	0.006	0.056
-71	25	0.088	0.874	0.008	0.03
-71	25.5	0.086	0.858	0.024	0.032
-71	26	0.074	0.876	0.026	0.024
-71	26.5	0.08	0.866	0.018	0.036
-71	27	0.0559999999999999	0.9	0.012	0.032
-71	27.5	0.08	0.858	0.024	0.038
-71	28	0.098	0.858	0.016	0.028
-71	28.5	0.082	0.854	0.012	0.052
-71	29	0.08	0.884	0.012	0.024
-71	29.5	0.104	0.846	0.006	0.044
-71	30	0.0599999999999999	0.89	0.014	0.036
-71	30.5	0.0679999999999999	0.886	0.012	0.034
-71	31	0.096	0.84	0.012	0.052
-71	31.5	0.112	0.856	0.006	0.026
-71	32	0.084	0.868	0.012	0.036
-71	32.5	0.102	0.854	0.014	0.03
-71	33	0.092	0.876	0.004	0.028
-71	33.5	0.0639999999999999	0.898	0.008	0.03
-71	34	0.088	0.868	0.008	0.036
-71	34.5	0.0679999999999999	0.872	0.016	0.044
-71	35	0.126	0.844	0.01	0.02
-71	35.5	0.08	0.878	0.02	0.022
-71	36	0.074	0.878	0.006	0.042
-71	36.5	0.09	0.862	0.01	0.038
-71	37	0.084	0.842	0.032	0.042
-71	37.5	0.096	0.858	0.008	0.038
-71	38	0.102	0.828	0.028	0.042
-71	38.5	0.074	0.898	0.008	0.02
-71	39	0.088	0.886	0.002	0.024
-71	39.5	0.09	0.866	0.016	0.028
-71	40	0.104	0.864	0.01	0.022
-71	40.5	0.09	0.866	0.012	0.032
-71	41	0.104	0.86	0.004	0.032
-71	41.5	0.078	0.886	0.002	0.034
-71	42	0.098	0.85	0.01	0.042
-71	42.5	0.078	0.88	0.01	0.032
-71	43	0.08	0.856	0.016	0.048
-71	43.5	0.108	0.854	0.006	0.032
-71	44	0.092	0.86	0.008	0.04
-71	44.5	0.08	0.864	0.016	0.04
-71	45	0.074	0.876	0.014	0.036
-71	45.5	0.102	0.834	0.022	0.042
-71	46	0.118	0.834	0.018	0.03
-71	46.5	0.08	0.862	0.016	0.042
-71	47	0.086	0.864	0.006	0.044
-71	47.5	0.0679999999999999	0.876	0.008	0.048
-71	48	0.088	0.874	0.012	0.026
-71	48.5	0.074	0.87	0.018	0.038
-71	49	0.078	0.864	0.018	0.04
-71	49.5	0.094	0.856	0.024	0.026
-71	50	0.102	0.854	0.01	0.034
-71	50.5	0.108	0.858	0.008	0.026
-71	51	0.138	0.824	0.012	0.026
-71	51.5	0.086	0.864	0.008	0.042
-71	52	0.074	0.884	0.012	0.03

-73	12	0.092	0.666	0.198	0.044
-73	12.5	0.0999999999999999	0.802	0.054	0.044
-73	13	0.186	0.724	0.052	0.038
-73	13.5	0.25	0.28	0.426	0.044
-73	14	0.164	0.164	0.61	0.062
-73	14.5	0.088	0.634	0.238	0.04
-73	15	0.074	0.852	0.03	0.044
-73	15.5	0.0620000000000001	0.814	0.092	0.032
-73	16	0.082	0.812	0.08	0.026
-73	16.5	0.086	0.878	0.004	0.032
