# vP1_Q1Q4_AC_set	wait_q4_set	su_S_North
# "vP1_Q1Q4_AC"	"wait_q4"	"su_S_North"
# 21	61
56.5	0	0.77
56.5	1.5	0.595
56.5	3	0.39
56.5	4.5	0.33
56.5	6	0.185
56.5	7.5	0.17
56.5	9	0.175
56.5	10.5	0.22
56.5	12	0.405
56.5	13.5	0.49
56.5	15	0.6
56.5	16.5	0.765
56.5	18	0.88
56.5	19.5	0.915
56.5	21	0.885
56.5	22.5	0.825
56.5	24	0.75
56.5	25.5	0.6
56.5	27	0.42
56.5	28.5	0.315
56.5	30	0.15
56.5	31.5	0.12
56.5	33	0.18
56.5	34.5	0.29
56.5	36	0.41
56.5	37.5	0.52
56.5	39	0.78
56.5	40.5	0.845
56.5	42	0.905
56.5	43.5	0.88
56.5	45	0.915
56.5	46.5	0.8
56.5	48	0.72
56.5	49.5	0.575
56.5	51	0.335
56.5	52.5	0.23
56.5	54	0.145
56.5	55.5	0.185
56.5	57	0.27
56.5	58.5	0.39
56.5	60	0.43
56.5	61.5	0.605
56.5	63	0.745
56.5	64.5	0.865
56.5	66	0.89
56.5	67.5	0.885
56.5	69	0.835
56.5	70.5	0.74
56.5	72	0.46
56.5	73.5	0.46
56.5	75	0.245
56.5	76.5	0.195
56.5	78	0.15
56.5	79.5	0.195
56.5	81	0.325
56.5	82.5	0.36
56.5	84	0.44
56.5	85.5	0.69
56.5	87	0.82
56.5	88.5	0.89
56.5	90	0.865

56.4	0	0.735
56.4	1.5	0.615
56.4	3	0.45
56.4	4.5	0.305
56.4	6	0.15
56.4	7.5	0.095
56.4	9	0.12
56.4	10.5	0.2
56.4	12	0.395
56.4	13.5	0.5
56.4	15	0.73
56.4	16.5	0.745
56.4	18	0.875
56.4	19.5	0.91
56.4	21	0.885
56.4	22.5	0.83
56.4	24	0.7
56.4	25.5	0.525
56.4	27	0.37
56.4	28.5	0.23
56.4	30	0.175
56.4	31.5	0.15
56.4	33	0.215
56.4	34.5	0.28
56.4	36	0.455
56.4	37.5	0.545
56.4	39	0.755
56.4	40.5	0.845
56.4	42	0.86
56.4	43.5	0.905
56.4	45	0.855
56.4	46.5	0.745
56.4	48	0.645
56.4	49.5	0.61
56.4	51	0.335
56.4	52.5	0.245
56.4	54	0.155
56.4	55.5	0.16
56.4	57	0.205
56.4	58.5	0.305
56.4	60	0.41
56.4	61.5	0.59
56.4	63	0.73
56.4	64.5	0.83
56.4	66	0.91
56.4	67.5	0.85
56.4	69	0.785
56.4	70.5	0.695
56.4	72	0.605
56.4	73.5	0.45
56.4	75	0.315
56.4	76.5	0.175
56.4	78	0.135
56.4	79.5	0.12
56.4	81	0.2
56.4	82.5	0.315
56.4	84	0.575
56.4	85.5	0.645
56.4	87	0.785
56.4	88.5	0.83
56.4	90	0.92

56.3	0	0.745
56.3	1.5	0.61
56.3	3	0.525
56.3	4.5	0.25
56.3	6	0.165
56.3	7.5	0.135
56.3	9	0.195
56.3	10.5	0.16
56.3	12	0.35
56.3	13.5	0.48
56.3	15	0.595
56.3	16.5	0.78
56.3	18	0.86
56.3	19.5	0.84
56.3	21	0.805
56.3	22.5	0.78
56.3	24	0.635
56.3	25.5	0.54
56.3	27	0.3
56.3	28.5	0.29
56.3	30	0.18
56.3	31.5	0.185
56.3	33	0.175
56.3	34.5	0.275
56.3	36	0.315
56.3	37.5	0.57
56.3	39	0.725
56.3	40.5	0.845
56.3	42	0.865
56.3	43.5	0.905
56.3	45	0.865
56.3	46.5	0.77
56.3	48	0.535
56.3	49.5	0.52
56.3	51	0.315
56.3	52.5	0.2
56.3	54	0.175
56.3	55.5	0.135
56.3	57	0.2
56.3	58.5	0.365
56.3	60	0.515
56.3	61.5	0.64
56.3	63	0.815
56.3	64.5	0.875
56.3	66	0.88
56.3	67.5	0.82
56.3	69	0.835
56.3	70.5	0.695
56.3	72	0.555
56.3	73.5	0.41
56.3	75	0.255
56.3	76.5	0.215
56.3	78	0.18
56.3	79.5	0.235
56.3	81	0.34
56.3	82.5	0.465
56.3	84	0.64
56.3	85.5	0.695
56.3	87	0.835
56.3	88.5	0.85
56.3	90	0.91

56.2	0	0.815
56.2	1.5	0.635
56.2	3	0.465
56.2	4.5	0.38
56.2	6	0.16
56.2	7.5	0.24
56.2	9	0.22
56.2	10.5	0.375
56.2	12	0.36
56.2	13.5	0.515
56.2	15	0.725
56.2	16.5	0.765
56.2	18	0.86
56.2	19.5	0.9
56.2	21	0.895
56.2	22.5	0.79
56.2	24	0.695
56.2	25.5	0.535
56.2	27	0.395
56.2	28.5	0.24
56.2	30	0.13
56.2	31.5	0.155
56.2	33	0.25
56.2	34.5	0.31
56.2	36	0.475
56.2	37.5	0.54
56.2	39	0.75
56.2	40.5	0.765
56.2	42	0.87
56.2	43.5	0.87
56.2	45	0.83
56.2	46.5	0.815
56.2	48	0.595
56.2	49.5	0.435
56.2	51	0.36
56.2	52.5	0.19
56.2	54	0.175
56.2	55.5	0.18
56.2	57	0.28
56.2	58.5	0.375
56.2	60	0.56
56.2	61.5	0.685
56.2	63	0.78
56.2	64.5	0.855
56.2	66	0.935
56.2	67.5	0.85
56.2	69	0.795
56.2	70.5	0.735
56.2	72	0.485
56.2	73.5	0.405
56.2	75	0.3
56.2	76.5	0.195
56.2	78	0.17
56.2	79.5	0.21
56.2	81	0.365
56.2	82.5	0.455
56.2	84	0.595
56.2	85.5	0.775
56.2	87	0.835
56.2	88.5	0.845
56.2	90	0.885

56.1	0	0.685
56.1	1.5	0.58
56.1	3	0.445
56.1	4.5	0.32
56.1	6	0.165
56.1	7.5	0.155
56.1	9	0.17
56.1	10.5	0.26
56.1	12	0.395
56.1	13.5	0.48
56.1	15	0.64
56.1	16.5	0.83
56.1	18	0.87
56.1	19.5	0.92
56.1	21	0.86
56.1	22.5	0.84
56.1	24	0.635
56.1	25.5	0.48
56.1	27	0.355
56.1	28.5	0.205
56.1	30	0.215
56.1	31.5	0.17
56.1	33	0.18
56.1	34.5	0.335
56.1	36	0.49
56.1	37.5	0.63
56.1	39	0.77
56.1	40.5	0.845
56.1	42	0.86
56.1	43.5	0.89
56.1	45	0.845
56.1	46.5	0.67
56.1	48	0.555
56.1	49.5	0.425
56.1	51	0.27
56.1	52.5	0.23
56.1	54	0.155
56.1	55.5	0.175
56.1	57	0.265
56.1	58.5	0.325
56.1	60	0.505
56.1	61.5	0.71
56.1	63	0.78
56.1	64.5	0.875
56.1	66	0.89
56.1	67.5	0.865
56.1	69	0.775
56.1	70.5	0.645
56.1	72	0.515
56.1	73.5	0.335
56.1	75	0.29
56.1	76.5	0.22
56.1	78	0.12
56.1	79.5	0.225
56.1	81	0.435
56.1	82.5	0.485
56.1	84	0.64
56.1	85.5	0.725
56.1	87	0.845
56.1	88.5	0.885
56.1	90	0.86

