# ramptime_set	wait_q3_set	su_S_North
# "ramptime"	"wait_q3"	"su_S_North"
# 11	21
1	0	0.14
1	1.5	0.235
1	3	0.4
1	4.5	0.565
1	6	0.5
1	7.5	0.475
1	9	0.41
1	10.5	0.2
1	12	0.135
1	13.5	0.16
1	15	0.26
1	16.5	0.42
1	18	0.595
1	19.5	0.545
1	21	0.445
1	22.5	0.285
1	24	0.18
1	25.5	0.14
1	27	0.23
1	28.5	0.365
1	30	0.505

21	0	0.42
21	1.5	0.47
21	3	0.405
21	4.5	0.28
21	6	0.12
21	7.5	0.13
21	9	0.19
21	10.5	0.305
21	12	0.495
21	13.5	0.45
21	15	0.4
21	16.5	0.33
21	18	0.19
21	19.5	0.17
21	21	0.15
21	22.5	0.185
21	24	0.355
21	25.5	0.475
21	27	0.405
21	28.5	0.315
21	30	0.25

41	0	0.165
41	1.5	0.09
41	3	0.135
41	4.5	0.265
41	6	0.245
41	7.5	0.33
41	9	0.325
41	10.5	0.265
41	12	0.19
41	13.5	0.1
41	15	0.125
41	16.5	0.2
41	18	0.27
41	19.5	0.335
41	21	0.35
41	22.5	0.295
41	24	0.26
41	25.5	0.2
41	27	0.235
41	28.5	0.175
41	30	0.305

61	0	0.22
61	1.5	0.22
61	3	0.215
61	4.5	0.21
61	6	0.23
61	7.5	0.145
61	9	0.165
61	10.5	0.215
61	12	0.17
61	13.5	0.245
61	15	0.255
61	16.5	0.265
61	18	0.22
61	19.5	0.12
61	21	0.205
61	22.5	0.205
61	24	0.17
61	25.5	0.215
61	27	0.255
61	28.5	0.31
61	30	0.23

81	0	0.165
81	1.5	0.18
81	3	0.12
81	4.5	0.13
81	6	0.17
81	7.5	0.15
81	9	0.215
81	10.5	0.18
81	12	0.205
81	13.5	0.145
81	15	0.185
81	16.5	0.19
81	18	0.215
81	19.5	0.235
81	21	0.25
81	22.5	0.205
81	24	0.145
81	25.5	0.185
81	27	0.1
81	28.5	0.135
81	30	0.145

101	0	0.18
101	1.5	0.23
101	3	0.185
101	4.5	0.19
101	6	0.135
101	7.5	0.155
101	9	0.12
101	10.5	0.13
101	12	0.155
101	13.5	0.16
101	15	0.24
101	16.5	0.17
101	18	0.155
101	19.5	0.165
101	21	0.165
101	22.5	0.17
101	24	0.165
101	25.5	0.19
101	27	0.185
101	28.5	0.2
101	30	0.175

121	0	0.22
121	1.5	0.18
121	3	0.19
121	4.5	0.225
121	6	0.175
121	7.5	0.215
121	9	0.21
121	10.5	0.165
121	12	0.165
121	13.5	0.18
121	15	0.18
121	16.5	0.135
121	18	0.155
121	19.5	0.165
121	21	0.17
121	22.5	0.135
121	24	0.18
121	25.5	0.23
121	27	0.14
121	28.5	0.19
121	30	0.115

141	0	0.18
141	1.5	0.12
141	3	0.125
141	4.5	0.14
141	6	0.22
141	7.5	0.175
141	9	0.185
141	10.5	0.18
141	12	0.145
141	13.5	0.17
141	15	0.17
141	16.5	0.15
141	18	0.125
141	19.5	0.15
141	21	0.14
141	22.5	0.125
141	24	0.12
141	25.5	0.11
141	27	0.14
141	28.5	0.135
141	30	0.21

161	0	0.145
161	1.5	0.195
161	3	0.16
161	4.5	0.17
161	6	0.17
161	7.5	0.16
161	9	0.14
161	10.5	0.17
161	12	0.14
161	13.5	0.2
161	15	0.16
161	16.5	0.24
161	18	0.165
161	19.5	0.15
161	21	0.15
161	22.5	0.165
161	24	0.17
161	25.5	0.175
161	27	0.175
161	28.5	0.195
161	30	0.175

181	0	0.135
181	1.5	0.155
181	3	0.21
181	4.5	0.21
181	6	0.18
181	7.5	0.205
181	9	0.115
181	10.5	0.16
181	12	0.135
181	13.5	0.125
181	15	0.185
181	16.5	0.205
181	18	0.195
181	19.5	0.13
181	21	0.145
181	22.5	0.2
181	24	0.125
181	25.5	0.21
181	27	0.165
181	28.5	0.155
181	30	0.185

201	0	0.15
201	1.5	0.155
201	3	0.155
201	4.5	0.145
201	6	0.15
201	7.5	0.135
201	9	0.235
201	10.5	0.15
201	12	0.155
201	13.5	0.16
201	15	0.17
201	16.5	0.125
201	18	0.17
201	19.5	0.19
201	21	0.155
201	22.5	0.185
201	24	0.105
201	25.5	0.115
201	27	0.17
201	28.5	0.14
201	30	0.105
