# vP3_Q2Q3_AC_set	waittime_set	su_S_North
# "vP3_Q2Q3_AC"	"waittime"	"su_S_North"
# 21	61
42	0	0.25
42	1.5	0.145
42	3	0.275
42	4.5	0.625
42	6	0.805
42	7.5	0.87
42	9	0.73
42	10.5	0.365
42	12	0.175
42	13.5	0.14
42	15	0.535
42	16.5	0.74
42	18	0.83
42	19.5	0.82
42	21	0.46
42	22.5	0.32
42	24	0.2
42	25.5	0.34
42	27	0.535
42	28.5	0.83
42	30	0.86
42	31.5	0.72
42	33	0.45
42	34.5	0.17
42	36	0.185
42	37.5	0.39
42	39	0.77
42	40.5	0.875
42	42	0.83
42	43.5	0.49
42	45	0.255
42	46.5	0.175
42	48	0.355
42	49.5	0.555
42	51	0.815
42	52.5	0.855
42	54	0.67
42	55.5	0.45
42	57	0.18
42	58.5	0.22
42	60	0.375
42	61.5	0.735
42	63	0.89
42	64.5	0.79
42	66	0.525
42	67.5	0.255
42	69	0.135
42	70.5	0.305
42	72	0.575
42	73.5	0.85
42	75	0.86
42	76.5	0.67
42	78	0.445
42	79.5	0.175
42	81	0.19
42	82.5	0.495
42	84	0.71
42	85.5	0.87
42	87	0.755
42	88.5	0.445
42	90	0.235

41.5	0	0.3
41.5	1.5	0.155
41.5	3	0.32
41.5	4.5	0.62
41.5	6	0.8
41.5	7.5	0.805
41.5	9	0.71
41.5	10.5	0.37
41.5	12	0.15
41.5	13.5	0.19
41.5	15	0.455
41.5	16.5	0.72
41.5	18	0.88
41.5	19.5	0.825
41.5	21	0.55
41.5	22.5	0.275
41.5	24	0.18
41.5	25.5	0.225
41.5	27	0.56
41.5	28.5	0.81
41.5	30	0.85
41.5	31.5	0.685
41.5	33	0.46
41.5	34.5	0.26
41.5	36	0.19
41.5	37.5	0.395
41.5	39	0.71
41.5	40.5	0.86
41.5	42	0.835
41.5	43.5	0.615
41.5	45	0.245
41.5	46.5	0.125
41.5	48	0.255
41.5	49.5	0.605
41.5	51	0.865
41.5	52.5	0.86
41.5	54	0.735
41.5	55.5	0.445
41.5	57	0.18
41.5	58.5	0.185
41.5	60	0.33
41.5	61.5	0.695
41.5	63	0.89
41.5	64.5	0.77
41.5	66	0.53
41.5	67.5	0.315
41.5	69	0.11
41.5	70.5	0.28
41.5	72	0.585
41.5	73.5	0.77
41.5	75	0.855
41.5	76.5	0.665
41.5	78	0.43
41.5	79.5	0.19
41.5	81	0.12
41.5	82.5	0.43
41.5	84	0.635
41.5	85.5	0.835
41.5	87	0.805
41.5	88.5	0.615
41.5	90	0.335

41	0	0.285
41	1.5	0.09
41	3	0.285
41	4.5	0.495
41	6	0.79
41	7.5	0.915
41	9	0.69
41	10.5	0.42
41	12	0.155
41	13.5	0.185
41	15	0.405
41	16.5	0.69
41	18	0.875
41	19.5	0.83
41	21	0.665
41	22.5	0.305
41	24	0.19
41	25.5	0.31
41	27	0.59
41	28.5	0.795
41	30	0.87
41	31.5	0.73
41	33	0.425
41	34.5	0.205
41	36	0.135
41	37.5	0.29
41	39	0.69
41	40.5	0.85
41	42	0.82
41	43.5	0.595
41	45	0.32
41	46.5	0.13
41	48	0.22
41	49.5	0.555
41	51	0.77
41	52.5	0.87
41	54	0.77
41	55.5	0.46
41	57	0.225
41	58.5	0.195
41	60	0.375
41	61.5	0.705
41	63	0.84
41	64.5	0.83
41	66	0.61
41	67.5	0.275
41	69	0.12
41	70.5	0.21
41	72	0.48
41	73.5	0.815
41	75	0.865
41	76.5	0.76
41	78	0.52
41	79.5	0.175
41	81	0.165
41	82.5	0.345
41	84	0.66
41	85.5	0.8
41	87	0.88
41	88.5	0.67
41	90	0.37

40.5	0	0.26
40.5	1.5	0.195
40.5	3	0.245
40.5	4.5	0.57
40.5	6	0.735
40.5	7.5	0.915
40.5	9	0.765
40.5	10.5	0.46
40.5	12	0.245
40.5	13.5	0.2
40.5	15	0.275
40.5	16.5	0.685
40.5	18	0.805
40.5	19.5	0.875
40.5	21	0.71
40.5	22.5	0.46
40.5	24	0.185
40.5	25.5	0.255
40.5	27	0.45
40.5	28.5	0.8
40.5	30	0.845
40.5	31.5	0.765
40.5	33	0.495
40.5	34.5	0.19
40.5	36	0.12
40.5	37.5	0.3
40.5	39	0.67
40.5	40.5	0.845
40.5	42	0.84
40.5	43.5	0.655
40.5	45	0.415
40.5	46.5	0.19
40.5	48	0.275
40.5	49.5	0.435
40.5	51	0.76
40.5	52.5	0.87
40.5	54	0.835
40.5	55.5	0.54
40.5	57	0.345
40.5	58.5	0.125
40.5	60	0.26
40.5	61.5	0.52
40.5	63	0.85
40.5	64.5	0.855
40.5	66	0.755
40.5	67.5	0.46
40.5	69	0.26
40.5	70.5	0.17
40.5	72	0.385
40.5	73.5	0.69
40.5	75	0.85
40.5	76.5	0.83
40.5	78	0.62
40.5	79.5	0.295
40.5	81	0.16
40.5	82.5	0.24
40.5	84	0.53
40.5	85.5	0.805
40.5	87	0.85
40.5	88.5	0.705
40.5	90	0.425

40	0	0.325
40	1.5	0.175
40	3	0.255
40	4.5	0.53
40	6	0.685
40	7.5	0.86
40	9	0.78
40	10.5	0.535
40	12	0.24
40	13.5	0.12
40	15	0.35
40	16.5	0.63
40	18	0.825
40	19.5	0.89
40	21	0.725
40	22.5	0.35
40	24	0.16
40	25.5	0.21
40	27	0.425
40	28.5	0.72
40	30	0.875
40	31.5	0.815
40	33	0.6
40	34.5	0.37
40	36	0.225
40	37.5	0.28
40	39	0.505
40	40.5	0.78
40	42	0.89
40	43.5	0.785
40	45	0.485
40	46.5	0.21
40	48	0.19
40	49.5	0.405
40	51	0.665
40	52.5	0.865
40	54	0.875
40	55.5	0.605
40	57	0.375
40	58.5	0.155
40	60	0.26
40	61.5	0.38
40	63	0.76
40	64.5	0.86
40	66	0.825
40	67.5	0.55
40	69	0.24
40	70.5	0.14
40	72	0.265
40	73.5	0.62
40	75	0.875
40	76.5	0.85
40	78	0.675
40	79.5	0.405
40	81	0.195
40	82.5	0.195
40	84	0.495
40	85.5	0.66
40	87	0.905
40	88.5	0.86
40	90	0.545

39.5	0	0.36
39.5	1.5	0.155
39.5	3	0.255
39.5	4.5	0.47
39.5	6	0.75
39.5	7.5	0.88
39.5	9	0.785
39.5	10.5	0.595
39.5	12	0.275
39.5	13.5	0.12
39.5	15	0.25
39.5	16.5	0.505
39.5	18	0.815
39.5	19.5	0.895
39.5	21	0.755
39.5	22.5	0.57
39.5	24	0.24
39.5	25.5	0.22
39.5	27	0.37
39.5	28.5	0.675
39.5	30	0.87
39.5	31.5	0.875
39.5	33	0.59
39.5	34.5	0.325
39.5	36	0.14
39.5	37.5	0.29
39.5	39	0.44
39.5	40.5	0.77
39.5	42	0.9
39.5	43.5	0.86
39.5	45	0.585
39.5	46.5	0.285
39.5	48	0.165
39.5	49.5	0.215
39.5	51	0.58
39.5	52.5	0.76
39.5	54	0.885
39.5	55.5	0.735
39.5	57	0.405
39.5	58.5	0.145
39.5	60	0.275
39.5	61.5	0.41
39.5	63	0.62
39.5	64.5	0.81
39.5	66	0.805
39.5	67.5	0.605
39.5	69	0.355
39.5	70.5	0.155
39.5	72	0.29
39.5	73.5	0.49
39.5	75	0.77
39.5	76.5	0.88
39.5	78	0.765
39.5	79.5	0.535
39.5	81	0.205
39.5	82.5	0.165
39.5	84	0.335
39.5	85.5	0.49
39.5	87	0.73
39.5	88.5	0.8
39.5	90	0.76

39	0	0.455
39	1.5	0.255
39	3	0.19
39	4.5	0.4
39	6	0.66
39	7.5	0.84
39	9	0.82
39	10.5	0.64
39	12	0.415
39	13.5	0.205
39	15	0.19
39	16.5	0.465
39	18	0.75
39	19.5	0.895
39	21	0.795
39	22.5	0.59
39	24	0.305
39	25.5	0.125
39	27	0.26
39	28.5	0.485
39	30	0.77
39	31.5	0.845
39	33	0.83
39	34.5	0.565
39	36	0.225
39	37.5	0.125
39	39	0.41
39	40.5	0.68
39	42	0.8
39	43.5	0.855
39	45	0.74
39	46.5	0.38
39	48	0.185
39	49.5	0.245
39	51	0.38
39	52.5	0.66
39	54	0.88
39	55.5	0.81
39	57	0.7
39	58.5	0.37
39	60	0.23
39	61.5	0.21
39	63	0.49
39	64.5	0.695
39	66	0.835
39	67.5	0.835
39	69	0.555
39	70.5	0.28
39	72	0.175
39	73.5	0.34
39	75	0.5
39	76.5	0.84
39	78	0.865
39	79.5	0.78
39	81	0.465
39	82.5	0.225
39	84	0.145
39	85.5	0.32
39	87	0.58
39	88.5	0.75
39	90	0.81

38.5	0	0.55
38.5	1.5	0.285
38.5	3	0.125
38.5	4.5	0.32
38.5	6	0.545
38.5	7.5	0.8
38.5	9	0.925
38.5	10.5	0.725
38.5	12	0.455
38.5	13.5	0.175
38.5	15	0.16
38.5	16.5	0.36
38.5	18	0.62
38.5	19.5	0.82
38.5	21	0.89
38.5	22.5	0.745
38.5	24	0.43
38.5	25.5	0.17
38.5	27	0.21
38.5	28.5	0.455
38.5	30	0.665
38.5	31.5	0.825
38.5	33	0.875
38.5	34.5	0.64
38.5	36	0.325
38.5	37.5	0.2
38.5	39	0.19
38.5	40.5	0.44
38.5	42	0.71
38.5	43.5	0.855
38.5	45	0.875
38.5	46.5	0.525
38.5	48	0.27
38.5	49.5	0.19
38.5	51	0.215
38.5	52.5	0.435
38.5	54	0.62
38.5	55.5	0.815
38.5	57	0.865
38.5	58.5	0.66
38.5	60	0.295
38.5	61.5	0.155
38.5	63	0.22
38.5	64.5	0.48
38.5	66	0.665
38.5	67.5	0.845
38.5	69	0.825
38.5	70.5	0.675
38.5	72	0.405
38.5	73.5	0.205
38.5	75	0.295
38.5	76.5	0.515
38.5	78	0.745
38.5	79.5	0.83
38.5	81	0.745
38.5	82.5	0.52
38.5	84	0.265
38.5	85.5	0.235
38.5	87	0.25
38.5	88.5	0.525
38.5	90	0.695

38	0	0.695
38	1.5	0.46
38	3	0.225
38	4.5	0.16
38	6	0.38
38	7.5	0.775
38	9	0.9
38	10.5	0.83
38	12	0.535
38	13.5	0.305
38	15	0.16
38	16.5	0.3
38	18	0.5
38	19.5	0.75
38	21	0.855
38	22.5	0.825
38	24	0.68
38	25.5	0.37
38	27	0.125
38	28.5	0.2
38	30	0.37
38	31.5	0.655
38	33	0.85
38	34.5	0.82
38	36	0.625
38	37.5	0.345
38	39	0.18
38	40.5	0.195
38	42	0.42
38	43.5	0.715
38	45	0.8
38	46.5	0.865
38	48	0.545
38	49.5	0.435
38	51	0.26
38	52.5	0.22
38	54	0.44
38	55.5	0.635
38	57	0.88
38	58.5	0.83
38	60	0.745
