# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 61
0	0.896
5000	0.894
10000	0.87
15000	0.844
20000	0.856
25000	0.876
30000	0.852
35000	0.868
40000	0.836
45000	0.86
50000	0.866
55000	0.852
60000	0.856
65000	0.85
70000	0.824
75000	0.832
80000	0.838
85000	0.814
90000	0.828
95000	0.792
100000	0.83
105000	0.794
110000	0.804
115000	0.82
120000	0.832
125000	0.84
130000	0.778
135000	0.794
140000	0.792
145000	0.792
150000	0.778
155000	0.808
160000	0.754
165000	0.794
170000	0.78
175000	0.784
180000	0.758
185000	0.772
190000	0.764
195000	0.7
200000	0.742
205000	0.736
210000	0.774
215000	0.762
220000	0.722
225000	0.714
230000	0.742
235000	0.734
240000	0.738
245000	0.714
250000	0.738
255000	0.73
260000	0.76
265000	0.736
270000	0.748
275000	0.742
280000	0.698
285000	0.672
290000	0.696
295000	0.714
300000	0.698
