# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	160.208740234375	0.565
0.25	162.445068359375	0.585
0.5	156.064453125	0.485
0.75	160.703735351562	0.59
1	160.266723632812	0.55
1.25	162.601623535156	0.605
1.5	157.124328613281	0.51
1.75	157.612915039062	0.51
2	146.814880371094	0.34
2.25	150.942687988281	0.43
2.5	147.526550292969	0.365
2.75	137.964782714844	0.235
3	139.721984863281	0.24
3.25	136.566772460938	0.15
3.5	134.449462890625	0.11
3.75	135.125427246094	0.13
4	130.39794921875	0.07
4.25	130.155334472656	0.07
4.5	129.052734375	0.06
4.75	132.424011230469	0.105
5	138.058776855469	0.165
5.25	140.355529785156	0.215
5.5	144.377136230469	0.285
5.75	148.609008789062	0.365
6	153.211364746094	0.43
6.25	152.320251464844	0.415
6.5	157.396545410156	0.49
6.75	164.360961914062	0.59
7	160.576477050781	0.58
7.25	161.623229980469	0.595
7.5	161.004943847656	0.605
7.75	162.833557128906	0.595
8	160.726318359375	0.55
8.25	161.334228515625	0.59
8.5	158.142700195312	0.535
8.75	156.477966308594	0.49
9	153.544006347656	0.455
9.25	153.264465332031	0.415
9.5	148.608703613281	0.365
9.75	145.964050292969	0.33
10	140.340270996094	0.185
10.25	137.241821289062	0.175
10.5	133.4716796875	0.115
10.75	131.060180664062	0.085
11	131.709594726562	0.095
11.25	129.494323730469	0.08
11.5	132.329406738281	0.085
11.75	130.58837890625	0.09
12	135.264282226562	0.135
12.25	140.123596191406	0.195
12.5	142.372131347656	0.23
12.75	149.508666992188	0.39
13	150.817565917969	0.39
13.25	153.207397460938	0.44
13.5	158.7158203125	0.515
13.75	160.902709960938	0.535
14	166.824035644531	0.63
14.25	162.887268066406	0.57
14.5	166.598815917969	0.63
14.75	170.285034179688	0.665
15	162.177734375	0.55
15.25	164.41650390625	0.61
15.5	164.400939941406	0.595
15.75	156.664123535156	0.495
16	155.042419433594	0.47
16.25	152.693481445312	0.425
16.5	150.986328125	0.375
16.75	143.501281738281	0.25
17	141.579284667969	0.22
17.25	142.081298828125	0.215
17.5	137.429504394531	0.12
17.75	133.253173828125	0.1
18	131.391296386719	0.08
18.25	134.595336914062	0.115
18.5	132.680358886719	0.095
18.75	135.386962890625	0.115
19	135.528259277344	0.125
19.25	139.307861328125	0.185
19.5	139.759521484375	0.205
19.75	142.110595703125	0.235
20	151.201171875	0.38
20.25	154.959716796875	0.435
20.5	157.229919433594	0.495
20.75	161.094970703125	0.545
21	161.114196777344	0.56
21.25	162.636108398438	0.57
21.5	163.899230957031	0.605
21.75	170.0830078125	0.705
22	165.630798339844	0.615
22.25	163.177185058594	0.585
22.5	166.438293457031	0.63
22.75	160.823364257812	0.565
23	162.898864746094	0.565
23.25	156.122131347656	0.455
23.5	146.690368652344	0.335
23.75	146.201171875	0.285
24	142.306823730469	0.245
24.25	141.755065917969	0.24
24.5	135.94482421875	0.145
24.75	135.543823242188	0.125
25	135.849304199219	0.12
25.25	132.495727539062	0.09
25.5	134.801940917969	0.085
25.75	136.952209472656	0.105
26	135.076293945312	0.13
26.25	136.624755859375	0.185
26.5	141.376647949219	0.25
26.75	140.779724121094	0.225
27	147.892150878906	0.345
27.25	149.696350097656	0.385
27.5	152.666320800781	0.44
27.75	156.072692871094	0.49
28	158.477783203125	0.535
28.25	163.381958007812	0.61
28.5	159.917602539062	0.57
28.75	159.203186035156	0.55
29	165.445861816406	0.63
29.25	162.529602050781	0.62
29.5	161.115112304688	0.555
29.75	152.209167480469	0.43
30	154.423522949219	0.455
