# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	130.543518066406	0.11
0.25	127.865905761719	0.08
0.5	128.7841796875	0.065
0.75	131.412658691406	0.1
1	134.239807128906	0.13
1.25	132.571716308594	0.125
1.5	129.832763671875	0.07
1.75	130.770874023438	0.095
2	128.213806152344	0.055
2.25	127.442016601562	0.075
2.5	131.871643066406	0.13
2.75	129.844665527344	0.08
3	129.886474609375	0.11
3.25	131.592712402344	0.13
3.5	129.028625488281	0.085
3.75	128.055725097656	0.06
4	130.82275390625	0.105
4.25	129.806213378906	0.11
4.5	129.193115234375	0.085
4.75	129.731750488281	0.09
5	131.400146484375	0.095
5.25	129.410095214844	0.08
5.5	128.526306152344	0.09
5.75	127.15087890625	0.065
6	130.22216796875	0.085
6.25	129.794921875	0.08
6.5	130.967407226562	0.105
6.75	129.951477050781	0.1
7	129.400939941406	0.09
7.25	129.298400878906	0.08
7.5	127.222900390625	0.06
7.75	128.589782714844	0.08
8	129.555358886719	0.105
8.25	129.997253417969	0.105
8.5	129.705505371094	0.1
8.75	131.689453125	0.115
9	128.670043945312	0.09
9.25	131.170959472656	0.115
9.5	132.896118164062	0.115
9.75	130.535278320312	0.085
10	132.572021484375	0.11
10.25	128.880615234375	0.095
10.5	129.562683105469	0.09
10.75	131.676635742188	0.11
11	130.251159667969	0.12
11.25	131.338806152344	0.12
11.5	132.242126464844	0.125
11.75	129.734191894531	0.1
12	132.463073730469	0.145
12.25	131.991882324219	0.125
12.5	129.066162109375	0.1
12.75	131.209716796875	0.12
13	130.096435546875	0.095
13.25	131.785888671875	0.115
13.5	129.303283691406	0.08
13.75	129.7412109375	0.095
14	130.166320800781	0.095
14.25	129.558410644531	0.105
14.5	128.213195800781	0.105
14.75	126.527099609375	0.035
15	129.82177734375	0.075
15.25	128.703308105469	0.085
15.5	128.24462890625	0.06
15.75	132.978820800781	0.135
16	131.56494140625	0.125
16.25	127.480773925781	0.07
16.5	129.840087890625	0.13
16.75	129.587097167969	0.08
17	133.396301269531	0.13
17.25	132.105102539062	0.105
17.5	127.476806640625	0.05
17.75	131.378784179688	0.085
18	126.591796875	0.045
18.25	129.503173828125	0.09
18.5	125.188903808594	0.04
18.75	127.957763671875	0.08
19	130.547180175781	0.085
19.25	129.166259765625	0.08
19.5	129.546508789062	0.085
19.75	126.589965820312	0.07
20	125.761413574219	0.065
20.25	126.261901855469	0.075
20.5	125.386352539062	0.075
20.75	127.801818847656	0.075
21	129.3212890625	0.085
21.25	129.426879882812	0.08
21.5	128.478698730469	0.085
21.75	125.238037109375	0.035
22	127.277526855469	0.055
22.25	127.870788574219	0.06
22.5	128.321533203125	0.075
22.75	131.021728515625	0.125
23	130.648498535156	0.105
23.25	129.468383789062	0.09
23.5	133.514709472656	0.13
23.75	130.782470703125	0.105
24	129.342041015625	0.09
24.25	128.312072753906	0.08
24.5	128.463134765625	0.065
24.75	128.434753417969	0.085
25	132.347412109375	0.105
25.25	129.7412109375	0.1
25.5	129.884948730469	0.07
25.75	132.577819824219	0.13
26	130.888671875	0.105
26.25	128.226318359375	0.075
26.5	131.243286132812	0.105
26.75	131.311340332031	0.1
27	127.347717285156	0.05
27.25	130.223999023438	0.095
27.5	129.820861816406	0.09
27.75	129.297485351562	0.095
28	130.068969726562	0.095
28.25	132.731628417969	0.13
28.5	132.907104492188	0.13
28.75	128.112487792969	0.085
29	125.979309082031	0.06
29.25	125.752258300781	0.055
29.5	127.963562011719	0.07
29.75	131.945190429688	0.11
30	128.424987792969	0.09
