# n_shuttle_gate_set	su_S_North
# "n_shuttle_gate"	"su_S_North"
# 80
0	0.072
1	0.547
2	0.93
3	0.533
4	0.091
5	0.52
6	0.919
7	0.472
8	0.101
9	0.573
10	0.933
11	0.501
12	0.099
13	0.516
14	0.93
15	0.562
16	0.109
17	0.453
18	0.924
19	0.517
20	0.107
21	0.573
22	0.894
23	0.534
24	0.126
25	0.466
26	0.909
27	0.458
28	0.113
29	0.501
30	0.911
31	0.598
32	0.118
33	0.543
34	0.885
35	0.451
36	0.128
37	0.555
38	0.865
39	0.472
40	0.153
41	0.517
42	0.858
43	0.458
44	0.168
45	0.617
46	0.868
47	0.461
48	0.162
49	0.575
50	0.866
51	0.577
52	0.183
53	0.519
54	0.851
55	0.665
56	0.197
57	0.326
58	0.839
59	0.545
60	0.202
61	0.571
62	0.785
63	0.602
64	0.307
65	0.376
66	0.744
67	0.689
68	0.238
69	0.433
70	0.797
71	0.579
72	0.247
73	0.548
74	0.778
75	0.658
76	0.255
77	0.529
78	0.793
79	0.61
