# n_shuttle_gate_set	su_S_North
# "n_shuttle_gate"	"su_S_North"
# 100
100	0.163
101	0.431
102	0.864
103	0.533
104	0.149
105	0.443
106	0.866
107	0.507
108	0.18
109	0.42
110	0.841
111	0.646
112	0.204
113	0.445
114	0.844
115	0.531
116	0.163
117	0.438
118	0.848
119	0.502
120	0.145
121	0.549
122	0.825
123	0.587
124	0.158
125	0.447
126	0.798
127	0.561
128	0.181
129	0.436
130	0.819
131	0.445
132	0.176
133	0.466
134	0.817
135	0.521
136	0.199
137	0.506
138	0.828
139	0.547
140	0.184
141	0.51
142	0.831
143	0.558
144	0.209
145	0.443
146	0.802
147	0.461
148	0.232
149	0.498
150	0.758
151	0.496
152	0.23
153	0.538
154	0.793
155	0.512
156	0.214
157	0.478
158	0.776
159	0.513
160	0.234
161	0.538
162	0.764
163	0.481
164	0.212
165	0.57
166	0.763
167	0.407
168	0.263
169	0.564
170	0.767
171	0.523
172	0.274
173	0.546
174	0.794
175	0.433
176	0.239
177	0.509
178	0.772
179	0.378
180	0.277
181	0.616
182	0.756
183	0.569
184	0.294
185	0.571
186	0.753
187	0.398
188	0.232
189	0.636
190	0.726
191	0.444
192	0.308
193	0.555
194	0.676
195	0.472
196	0.272
197	0.571
198	0.721
199	0.492
