# n_shuttle_gate_set	su_S_North
# "n_shuttle_gate"	"su_S_North"
# 80
0	0.063
1	0.514
2	0.913
3	0.509
4	0.094
5	0.506
6	0.911
7	0.493
8	0.086
9	0.518
10	0.911
11	0.537
12	0.105
13	0.546
14	0.903
15	0.514
16	0.095
17	0.539
18	0.903
19	0.475
20	0.076
21	0.487
22	0.899
23	0.486
24	0.084
25	0.571
26	0.909
27	0.482
28	0.09
29	0.533
30	0.883
31	0.544
32	0.101
33	0.522
34	0.877
35	0.49
36	0.104
37	0.539
38	0.875
39	0.448
40	0.12
41	0.568
42	0.88
43	0.517
44	0.098
45	0.56
46	0.898
47	0.491
48	0.097
49	0.537
50	0.887
51	0.496
52	0.095
53	0.57
54	0.894
55	0.493
56	0.084
57	0.549
58	0.91
59	0.471
60	0.12
61	0.593
62	0.888
63	0.422
64	0.112
65	0.587
66	0.895
67	0.451
68	0.109
69	0.618
70	0.877
71	0.398
72	0.108
73	0.605
74	0.872
75	0.417
76	0.129
77	0.585
78	0.873
79	0.403
